"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SB","AVG","OBP","SLG","GP"
"*04my4*","Cal Raleigh","SEA","C,DH","1","J&A","29","6,000,000","A","92.29","100","14.3","99%","0%","135/573","101","44","115","13",".236",".338",".504","155"
"*03yrz*","William Contreras","MIL","C,DH","2","Kai","28","23,000,000","A","78.82","100","63.1","99%","0%","154/558","96","19","83","6",".276",".368",".439","151"
"*04z6m*","Agustin Ramirez","MIA","C,DH","3","T","24","1,000,000","A","78.24","100","108","98%","0%","130/530","75","20","71","18",".245",".315",".423","138"
"*05u2v*","Hunter Goodman","COL","C,DH","4","R&J","26","1,800,000","A","77.45","100","87.6","98%","0%","136/541","65","31","88","1",".251",".309",".497","142"
"*04o4s*","Shea Langeliers","ATH","C,DH","5","FA","28","100,000","A","77.07","100","66.9","99%","0%","125/480","69","30","77","7",".260",".319",".506","127"
"*01u75*","Salvador Perez","KC","C,1B,DH","6","FA","35","100,000","A","75.57","100","133.7","95%","0%","143/553","54","29","94","0",".259",".309",".468","144"
"*0524l*","Yainer Diaz","HOU","C,DH","7","FA","27","100,000","A","71.95","100","184.3","96%","0%","155/555","63","20","77","1",".279",".308",".443","143"
"*05yo5*","Ben Rice","NYY","C,1B,DH","8","Zack","26","1,500,000","A","71.34","100","80.3","98%","0%","125/491","81","29","74","3",".255",".335",".503","139"
"*0630d*","Drake Baldwin","ATL","C","9","FA","24","100,000","A","70.16","100","133.5","97%","0%","128/471","57","19","85","0",".272",".348",".442","127"
"*04q2n*","Adley Rutschman","BAL","C,DH","10","Steve","27","22,500,000","A","67.44","100","163.8","98%","0%","132/529","66","15","65","0",".250",".336",".388","139"
"*042sz*","Will Smith","LAD","C","11","Max","30","12,000,000","A","66.11","100","117.1","98%","0%","107/399","72","17","69","2",".268",".372",".454","114"
"*025i9*","J.T. Realmuto","PHI","C","12","FA","34","100,000","A","62.81","100","275.4","81%","+1%","117/464","55","14","51","7",".252",".312",".403","123"
"*05wxy*","Kyle Teel","CHW","C","13","R&J","23","1,000,000","A","62.03","98","311","93%","0%","106/417","63","13","54","6",".254",".361",".396","117"
"*04t3y*","Alejandro Kirk","TOR","C","14","FA","27","100,000","A","61.5","100","218.5","89%","-1%","121/444","41","12","71","1",".273",".345",".399","125"
"*05rbv*","Samuel Basallo","BAL","C","15","T","21","500,000","A","61.2","100","290","96%","0%","96/382","48","22","59","3",".251",".333",".474","107"
"*05gx4*","Dillon Dingler","DET","C","16","FA","27","100,000","A","59.97","92","366.4","73%","-1%","112/421","50","15","58","0",".266",".333",".432","123"
"*05ahg*","Austin Wells","NYY","C","17","FA","26","100,000","A","59.31","94","331.9","83%","-1%","86/380","50","19","70","3",".226",".303",".437","113"
"*04pmu*","Ryan Jeffers","MIN","C,DH","18","FA","28","100,000","A","58.45","92","325.2","65%","-1%","103/412","52","15","54","1",".250",".337",".417","112"
"*04q56*","Logan OHoppe","LAA","C","19","FA","25","100,000","A","58.44","97","292.6","81%","-1%","101/429","48","20","50","2",".235",".289",".406","115"
"*04s1g*","Gabriel Moreno","ARI","C","20","FA","25","100,000","A","57.31","94","338.1","81%","0%","107/383","52","10","56","3",".279",".355",".415","108"
"*048tn*","Carlos Narvaez","BOS","C","21","FA","27","100,000","A","56.16","90","376.2","62%","0%","95/416","53","13","50","2",".228",".326",".380","124"
"*03pix*","Tyler Stephenson","CIN","C,DH","22","FA","29","100,000","A","55.17","90","370.9","63%","-1%","90/369","53","14","57","0",".244",".328",".417","106"
"*04yuu*","Patrick Bailey","SF","C","23","FA","26","100,000","A","54.5","74","442.9","41%","-1%","101/436","49","9","59","1",".232",".292",".346","126"
"*04qnc*","Francisco Alvarez","NYM","C","24","Ethan","24","8,500,000","A","53.9","96","302.1","85%","0%","81/347","47","19","54","0",".233",".316",".444","101"
"*03rmz*","Keibert Ruiz","WSH","C","25","FA","27","100,000","A","53.06","52","446.7","44%","-1%","108/430","39","10","49","1",".251",".289",".367","114"
"*031b2*","Jonah Heim","(N/A)","C,DH","26","FA","30","100,000","A","51.75","22","473.8","23%","0%","93/401","42","11","53","2",".232",".287",".352","118"
"*02mxf*","Carson Kelly","CHC","C","27","FA","31","100,000","A","51","90","361.1","62%","-3%","86/349","43","14","45","2",".246",".324",".407","100"
"*04mrn*","Bo Naylor","CLE","C","28","FA","25","100,000","A","50.07","85","403.4","53%","-1%","75/363","47","14","46","2",".207",".299",".380","119"
"*0514k*","Pedro Pages","STL","C","29","FA","27","100,000","A","49.06","34","465","23%","-2%","87/375","40","12","47","0",".232",".294",".371","115"
"*05un2*","Edgar Quero","CHW","C,DH","30","FA","22","100,000","A","47.74","80","417.5","63%","0%","95/368","35","7","43","0",".258",".348",".356","108"
"*05vy5*","Carter Jensen","KC","C","31","FA","22","100,000","A","45.83","97","344.4","88%","+1%","75/279","38","10","41","3",".269",".366",".452","84"
"*01usr*","Kyle Higashioka","TEX","C,DH","32","FA","35","100,000","A","44.08","34","457","21%","0%","63/253","33","13","45","3",".249",".296",".462","75"
"*04mn4*","Joey Bart","PIT","C","33","FA","29","100,000","A","44.04","30","463","24%","0%","79/315","32","8","39","1",".251",".344",".378","92"
"*03aoy*","Sean Murphy","ATL","C","34","FA","31","100,000","A","42.7","78","413.2","59%","-1%","59/274","33","14","40","0",".215",".317",".409","76"
"*031cd*","Mitch Garver","(N/A)","C,DH","35","FA","35","100,000","A","41.94","12","483.1","9%","0%","56/273","34","12","38","3",".205",".307",".370","76"
"*05oxc*","Henry Davis","PIT","C","36","FA","26","100,000","A","41.81","20","482.6","21%","+1%","66/309","34","9","29","4",".214",".304",".346","92"
"*05ynb*","Liam Hicks","MIA","C,1B,DH","37","FA","26","100,000","A","40.93","22","467.7","23%","0%","72/299","34","4","36","2",".241",".353",".331","92"
"*031el*","Danny Jansen","TEX","C","38","FA","30","100,000","A","40.4","38","461.8","24%","0%","53/249","34","13","34","0",".213",".312",".418","75"
"*05lo5*","Freddy Fermin","SD","C","39","FA","30","100,000","A","40.28","40","454.3","23%","0%","76/296","34","6","29","1",".257",".310",".358","84"
"*05xtz*","Dalton Rushing","LAD","C","40","Brenden","24","1,000,000","A","38.91","48","447.1","67%","0%","57/260","29","10","35","0",".219",".323",".373","78"
"*04pqf*","Nick Fortes","TB","C","41","FA","29","100,000","A","38.64","16","485.4","10%","0%","67/310","30","7","29","1",".216",".270",".332","91"
"*0311f*","Victor Caratini","MIN","C,1B,DH","42","FA","32","100,000","A","37.06","38","457.2","23%","+1%","61/226","27","7","31","1",".270",".343",".407","67"
"*03av1*","Jake Rogers","DET","C","43","FA","30","100,000","A","33.17","10","477.3","8%","0%","43/204","28","8","27","0",".211",".284",".387","59"
"*02nqg*","Luis Torrens","NYM","C","44","FA","29","100,000","A","33.02","11","479.5","9%","0%","54/227","21","5","25","1",".238",".300",".357","67"
"*01s99*","Travis dArnaud","LAA","C","45","FA","36","100,000","A","32.9","9","478.7","8%","0%","45/206","21","9","27","0",".218",".284",".398","59"
"*03fhx*","Elias Diaz","(N/A)","C","46","FA","35","100,000","A","32.64","2","463.6","6%","0%","50/221","23","6","26","0",".226",".282",".353","59"
"*04efi*","Connor Wong","BOS","C","47","FA","29","100,000","A","32.01","16","491.4","14%","0%","50/203","24","4","19","3",".246",".308",".369","59"
"*04pwl*","Hunter Feduccia","TB","C","48","FA","28","100,000","A","31.75","4","467.9","6%","0%","46/232","23","3","23","2",".198",".324",".293","75"
"*03xs3*","Miguel Amaya","CHC","C","49","FA","26","100,000","A","31.56","31","453","31%","-1%","45/192","21","5","31","0",".234",".303",".375","58"
"*029us*","Christian Vazquez","(N/A)","C","50","FA","35","100,000","A","30.82","1","463.3","2%","0%","48/231","21","5","20","1",".208",".268",".303","63"
"*03df0*","Jose Trevino","CIN","C","51","FA","33","100,000","A","29.78","10","477.1","10%","0%","45/191","23","5","19","0",".236",".288",".366","58"
"*05raw*","Harry Ford","WSH","C","52","R&J","22","500,000","A","29.68","36","446.3","65%","0%","37/163","20","3","18","7",".227",".354",".325","51"
"*04azt*","Riley Adams","(N/A)","C","53","FA","29","100,000","A","28.38","4","469.2","4%","-1%","39/180","19","5","17","1",".217",".295",".344","49"
"*02bra*","James McCann","ARI","C","54","FA","35","100,000","A","26.82","14","487.4","5%","0%","35/141","17","5","20","0",".248",".298",".418","42"
"*05gss*","Jeferson Quero","MIL","C","55","FA","23","100,000","A","25.82","19","481.1","52%","+1%","32/146","15","4","19","1",".219",".305",".349","43"
"*05yc9*","Braxton Fulford","COL","C","56","FA","27","100,000","A","25.79","6","474.9","7%","+1%","32/127","15","4","15","2",".252",".345",".441","41"
"*02j7h*","Jacob Stallings","(N/A)","C","57","FA","36","100,000","A","23.98","0","-","2%","-1%","31/160","13","3","16","0",".194",".279",".300","44"
"*02n1c*","Tyler Heineman","TOR","C","58","FA","34","100,000","A","23.66","8","469.7","6%","0%","28/125","19","2","14","2",".224",".340",".328","42"
"*031cs*","Austin Wynns","ATH","C","59","FA","35","100,000","A","22.61","7","475.4","4%","0%","28/115","12","4","16","0",".243",".293",".417","33"
"*01t9q*","Gary Sanchez","(N/A)","C","60","FA","33","100,000","A","20.48","10","482.1","7%","-1%","21/90","12","5","17","0",".233",".324",".422","26"
"*03yr2*","Yohel Pozo","STL","C","61","FA","28","100,000","A","20.19","2","466.8","4%","0%","27/116","10","3","12","0",".233",".258",".362","33"
"*04ent*","J.C. Escarra","NYY","C","62","FA","30","100,000","A","19.21","0","-","5%","0%","22/103","12","2","12","1",".214",".314",".320","33"
"*02brk*","Austin Hedges","CLE","C","63","FA","33","100,000","A","19.03","2","465.8","2%","0%","21/126","11","3","11","1",".167",".245",".262","41"
"*041q7*","Ben Rortvedt","CIN","C","64","FA","28","100,000","A","17.59","2","464.9","3%","0%","20/106","10","2","11","0",".189",".283",".283","33"
"*02n1q*","Luke Maile","(N/A)","C","65","FA","34","100,000","A","17.3","0","-","1%","0%","19/90","9","2","9","2",".211",".317",".322","25"
"*0310a*","Reese McGuire","MIL","C","66","FA","30","100,000","A","16.52","0","-","2%","0%","18/89","9","3","12","0",".202",".260",".337","25"
"*0510z*","Korey Lee","CHW","C","67","FA","27","100,000","A","16.13","4","466.9","7%","-1%","20/88","9","2","8","1",".227",".269",".330","25"
"*06434*","Jimmy Crooks","STL","C","68","FA","24","100,000","A","16.01","18","479.7","19%","+1%","19/84","8","2","11","0",".226",".301",".333","25"
"*0515f*","Drew Millas","WSH","C","69","FA","28","100,000","A","15.83","0","-","3%","0%","19/79","8","1","8","3",".241",".302",".342","24"
"*0403l*","Rafael Marchan","PHI","C","70","FA","26","100,000","A","15.79","6","471.6","6%","0%","19/82","8","2","9","0",".232",".315",".341","25"
"*041t8*","Andrew Knizner","SEA","C","71","FA","30","100,000","A","15.64","2","465.3","2%","0%","18/83","9","2","9","0",".217",".309",".337","23"
"*04yd8*","Jhonny Pereda","SEA","C","72","FA","29","100,000","A","14.99","0","-","2%","0%","19/83","8","1","6","0",".229",".333",".313","25"
"*06am0*","Mickey Gasper","(N/A)","C","73","FA","30","100,000","A","14.01","0","-","2%","0%","15/70","9","2","7","1",".214",".329",".357","20"
"*02t8m*","Tom Murphy","(N/A)","C","74","FA","34","100,000","A","12.23","1","461.9","2%","0%","13/53","7","3","6","0",".245",".298",".491","15"
"*05rcd*","Joe Mack","MIA","C","75","FA","23","100,000","A","12.06","27","460.7","54%","+3%","13/55","7","2","7","1",".236",".311",".400","16"
"*052h8*","Jesus Rodriguez","SF","C","76","FA","23","100,000","A","11.63","11","483","16%","0%","14/51","6","1","5","2",".275",".362",".373","16"
"*04ptr*","Willie MacIver","TEX","C","77","FA","29","100,000","A","10.85","1","462.6","5%","0%","12/53","5","1","6","2",".226",".317",".340","16"
"*0637j*","Josue Briceno","DET","C,1B","78","Brenden","21","500,000","A","10.74","10","480","59%","+2%","13/57","5","1","5","0",".228",".333",".351","17"
"*02yoi*","Alex Jackson","MIN","C","79","FA","30","100,000","A","10.71","2","463.4","3%","-1%","11/57","8","2","6","0",".193",".270",".351","16"
"*05gwr*","Drew Romo","CHW","C","80","FA","24","100,000","A","9.95","3","468.7","11%","-1%","13/57","4","1","4","0",".228",".290",".333","16"
"*05jpu*","Daniel Susac","SF","C","81","FA","24","100,000","A","9.94","6","475.7","16%","+1%","12/54","4","1","6","1",".222",".288",".315","16"
"*04psg*","Cesar Salazar","HOU","C","82","FA","29","100,000","A","9.7","0","-","2%","0%","11/49","5","1","6","0",".224",".367",".327","16"
"*04n1p*","Will Banfield","CIN","C","83","FA","26","100,000","A","8.67","0","-","2%","0%","11/53","5","1","5","0",".208",".263",".302","15"
"*02n1i*","Tomas Nido","DET","C","84","FA","31","100,000","A","8.64","0","-","1%","0%","11/59","5","1","4","0",".186",".238",".271","17"
"*041w5*","Jason Delay","BOS","C","85","FA","30","100,000","A","7.63","0","-","1%","0%","11/59","4","0","4","0",".186",".250",".237","17"
"*031bn*","Brian Navarreto","MIA","C","86","FA","31","100,000","A","7.43","0","-","0%","0%","10/54","5","1","6","0",".185",".241",".278","15"
"*04q63*","Hayden Senger","NYM","C","87","FA","28","100,000","A","7.26","0","-","1%","0%","10/56","5","1","5","0",".179",".246",".250","16"
"*0514r*","Maverick Handley","BAL","C","88","FA","27","100,000","A","7.22","0","-","2%","0%","10/50","4","0","4","1",".200",".310",".240","15"
"*02bwt*","Austin Barnes","NYM","C","89","FA","36","100,000","A","6.98","0","-","1%","0%","11/51","5","0","3","0",".216",".286",".235","16"
"*06f0p*","Cooper Ingle","CLE","C","90","FA","23","100,000","A","3.81","12","481.3","32%","+1%","7/29","4","1","3","0",".241",".353",".414","8"
"*025iy*","Jorge Alfaro","KC","C","91","FA","32","100,000","A","3.39","0","-","0%","0%","6/30","3","1","3","1",".200",".250",".333","7"
"*03125*","Dom Nunez","CLE","C","92","FA","31","100,000","A","2.69","0","-","0%","0%","5/33","3","1","2","0",".152",".282",".273","9"
"*03121*","Chad Wallach","ATH","C","93","FA","34","100,000","A","2.63","0","-","0%","0%","5/31","2","1","3","0",".161",".235",".290","8"
"*05rij*","Luca Tresh","KC","C","94","FA","26","100,000","A","2.47","0","-","1%","0%","5/25","2","1","3","0",".200",".259",".360","8"
"*04244*","Chuckie Robinson","LAD","C","95","FA","31","100,000","A","2.47","0","-","1%","0%","5/31","2","1","3","0",".161",".212",".290","25"
"*02c6c*","Aramis Garcia","ARI","C","96","FA","33","100,000","A","2.39","0","-","1%","0%","4/25","3","1","2","0",".160",".276",".320","8"
"*05180*","C.J. Stubbs","TOR","C","97","FA","29","100,000","A","2.37","0","-","0%","0%","4/29","3","1","2","0",".138",".242",".276","8"
"*02jtq*","Sandy Leon","(N/A)","C","98","FA","36","100,000","A","2.23","0","-","0%","0%","4/29","2","1","2","0",".138",".242",".276","7"
"*04aod*","Sebastian Rivero","LAA","C","99","FA","27","100,000","A","1.94","1","462.2","2%","+1%","6/27","2","0","2","0",".222",".250",".259","7"
"*06rhh*","Jesus Abreu","MIA","C","100","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06qzl*","Javier Acevedo","PIT","C,1B","101","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06xv5*","Cesar Acosta","NYM","C","102","FA","17","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06rwq*","Yeison Acosta","BAL","C","103","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hu2*","Chase Adkison","STL","C","104","FA","25","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06r7x*","Allen Ajoti","LAD","C","105","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06hez*","Lou Albrecht","PHI","C","106","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rip*","Henniel Alcala","CHC","C","107","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0642a*","Moises Alcala","ARI","C","108","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*062zk*","Yoanis Aleksandrov","(N/A)","C","109","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04ug3*","Eliezer Alfonzo","LAD","C","110","FA","26","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05m6e*","Omar Alfonzo","PIT","C,1B","111","FA","22","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*05yeh*","Pablo Aliendo","CHC","C,1B","112","FA","24","100,000","A","0","0","-","2%","0%","0","0","0","0","0","0","0","0","0"
"*03qkr*","Austin Allen","(N/A)","C","113","FA","32","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06s3a*","Manuel Almeida","SEA","C","114","FA","18","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06rhg*","Jeremy Almonte","MIA","C","115","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*042c4*","Roberto Alvarez","(N/A)","C","116","FA","26","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*05wdl*","Carlos Amaya","(N/A)","C","117","FA","24","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*04psp*","Jake Anchia","(N/A)","C,DH","118","FA","28","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06dqr*","Ethan Anderson","BAL","C,1B","119","FA","22","100,000","A","0","0","-","6%","0%","0","0","0","0","0","0","0","0","0"
"*051e1*","Aaron Antonini","DET","C","120","FA","27","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06pgm*","Jackson Appel","CHW","C","121","FA","24","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*06y7q*","Anderson Araujo","PHI","C","122","FA","17","100,000","A","0","0","-","3%","0%","0","0","0","0","0","0","0","0","0"
"*070bm*","Jack Arcamone","(N/A)","C","123","FA","21","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*0647o*","Silas Ardoin","BAL","C,1B","124","FA","25","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*070dw*","Bryan Arendt","ATH","C","125","FA","22","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06pgg*","Ariel Armas","CHC","C","126","FA","23","100,000","A","0","0","-","1%","0%","0","0","0","0","0","0","0","0","0"
"*05u1v*","Cade Arrambide","(N/A)","C","127","FA","20","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
"*06r7y*","Esmeiquel Arrieche","TOR","C","128","FA","19","100,000","A","0","0","-","0%","0%","0","0","0","0","0","0","0","0","0"
