Team,Closer,1st in Line,2nd in Line,Updated,Committee
BAL,Helsley,Wells,Akin,3/13/26,
BOS,Chapman,Whitlock,Weissert,3/15/26,
NYY,Bednar,Doval,Cruz,3/13/26,
TB,Jax,Cleavinger,Baker,3/13/26,*
TOR,Hoffman,Ty Rogers,Varland,3/13/26,
CHW,Domínguez,Taylor,Leasure,3/13/26,
CLE,Smith,Armstrong,Sabrowski,3/13/26,
DET,Jansen,Vest,Finnegan,3/13/26,
KC,Estévez,Erceg,Strahm,3/13/26,
MIN,Sands,Tay Rogers,Hendriks,3/13/26,*
ATH,Leiter Jr.,Harris,Sterner,3/13/26,*
HOU,Abreu,B King,Sousa,3/13/26,
LAA,Yates,Romano,Pomeranz,3/19/26,*
SEA,Muñoz,Brash,Ferrer,3/13/26,
TEX,R Garcia,Martin,Winn,3/13/26,*
ATL,Iglesias,R Suárez,Lee,3/13/26,
MIA,Fairbanks,Faucher,Bender,3/13/26,
NYM,Williams,Weaver,Raley,3/13/26,
PHI,Duran,Keller,Alvarado,3/13/26,
WAS,Beeter,Henry,C Pérez,3/13/26,*
CHC,Palencia,Harvey,Maton,3/13/26,
CIN,Pagán,Santillan,Ashcraft,3/13/26,
MIL,Megill,Uribe,Koenig,3/13/26,*
PIT,Santana,Soto,Lawrence,3/13/26,
STL,O'Brien,Romero,Svanson,3/13/26,*
ARI,Sewald,Ginkel,Thompson,3/13/26,*
COL,Vodnik,Agnos,Halvorsen,3/13/26,*
LAD,E Díaz,T Scott,Vesia,3/13/26,
SD,M Miller,Estrada,Morejon,3/13/26,
SF,R Walker,Buttó,E Miller,3/13/26,
