Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Casey Lawrence,SEA,AAA,38,108.2,5.631902367705584,1.3251534982836668,4.25,1.2423314046409377,0.15315315,0.03603604,0.11711712,0.27868852,1.2423314046409377,0.30232558,0.75652174,3.9754604948510006,4.96073461776172,-0.9852741229107198,4.901862163181605,11121
Brandon Leibrandt,CIN,AAA,33,77,6.779220779220779,2.688311688311688,2.52173913,1.87012987012987,0.17575758,0.06969697,0.10606061,0.29641694,1.4805194805194806,0.32188841,0.77510917,4.675324675324675,5.622709551724521,-0.9473848763998456,5.400878810766456,16135
Elieser Hernandez,ATL,AAA,31,76.1,8.489083535079192,3.183406325654697,2.66666667,1.532751193833743,0.21621622,0.08108108,0.13513514,0.28947368,1.5065503187254738,0.34246575,0.74898785,4.834061457475651,4.9990494668785,-0.1649880094028484,5.091936418829215,16933
Cole Irvin,LAD,AAA,32,87.1,4.843511732466122,3.9160307624194175,1.23684211,0.41221376446520186,0.11928934,0.0964467,0.02284264,0.2816092,1.5572519990907625,0.31649832,0.72254335,3.5038169979542158,5.047701289591124,-1.5438842916369087,6.251923947522112,19244
Jhonathan Diaz,SEA,AAA,29,85,7.094117647058823,3.388235294117647,2.09375,1.3764705882352941,0.17447917,0.08333333,0.09114583,0.2816092,1.5294117647058822,0.31716418,0.62176166,5.823529411764706,5.630817525527057,0.19271188623764868,5.5738063661491175,20298
Bruce Zimmermann,STL,AAA,31,78.2,9.610170734233629,2.402542683558407,4,1.6016951223722713,0.25688073,0.06422018,0.19266055,0.25901639,1.2711866050573581,0.31400966,0.7985258,3.775424217020354,4.548749744861317,-0.7733255278409628,4.025939882609649,20370
Randy Dobnak,SEA,AAA,31,80.2,5.466941933318921,2.789256088428021,1.96,0.6694214612227251,0.13960114,0.07122507,0.06837607,0.28526646,1.438016472256224,0.3219697,0.68062827,4.351239497947713,4.835517210853326,-0.4842777129056133,4.939993698079498,23798
Noah Davis,PIT,AAA,29,88,7.7727272727272725,4.295454545454546,1.80952381,0.9204545454545454,0.19191919,0.10606061,0.08585859,0.25581395,1.4772727272727273,0.30501931,0.69858713,4.5,4.90680046081543,-0.40680046081542987,5.578281940282746,25862
Joey Estes,OAK,AAA,24,82,6.804878048780488,4.609756097560975,1.47619048,2.0853658536585367,0.16756757,0.11351351,0.05405405,0.27469136,1.5975609756097562,0.28806584,0.66420664,6.585365853658536,7.131391413618879,-0.5460255599603432,6.376633947869627,26257
Bradley Blalock,MIA,AAA,25,77.2,8.806868106284487,3.8240348356235274,2.3030303,1.9699573395636352,0.22222222,0.09649123,0.12573099,0.26143791,1.454935812880332,0.29577465,0.65075922,6.1416317056983925,5.810770716389047,0.33086098930934504,4.70748577731896,26419
CJ Van Eyk,TOR,AAA,27,78.1,6.434042970960444,2.872340612035913,2.24,0.6893617468886191,0.17125382,0.0764526,0.09480122,0.25838926,1.302127744122947,0.30084746,0.68647541,3.7914896078874047,4.208396249428334,-0.4169066415409288,5.129335165079321,27568
