Rk,Name,Team,Age,Highest Level,Position,ETA,FV
1,Konnor Griffin,PIT,19.8,AA,SS,2026,70
2,Jesús Made,MIL,18.8,AA,SS,2027,65
3,Nolan McLean,NYM,24.6,MLB,SP,2026,65
4,Samuel Basallo,BAL,21.5,MLB,C,2026,65
5,Kevin McGonigle,DET,21.5,AA,3B,2026,60
6,Leo De Vries,ATH,19.3,AA,SS,2027,60
7,Max Clark,DET,21.2,AA,CF,2027,60
8,Trey Yesavage,TOR,22.6,MLB,SP,2026,60
9,Thomas White,MIA,21.4,AAA,SP,2027,60
10,Bubba Chandler,PIT,23.4,MLB,SP,2026,60
11,Colt Emerson,SEA,20.6,AAA,SS,2026,55
12,JJ Wetherholt,STL,23.4,AAA,2B,2026,55
13,Aidan Miller,PHI,21.7,AAA,SS,2026,55
14,Franklin Arias,BOS,20.2,AA,SS,2028,55
15,Eli Willits,WSN,18.2,A,SS,2029,55
16,Bryce Eldridge,SFG,21.3,MLB,1B,2026,55
17,Josue De Paula,LAD,20.7,AA,RF,2027,55
18,Payton Tolle,BOS,23.3,MLB,SP,2026,55
19,Liam Doyle,STL,21.7,AA,SP,2027,55
20,Ryan Sloan,SEA,20.0,A+,SP,2028,55
21,Carson Benge,NYM,23.1,AAA,CF,2026,55
22,Alfredo Duno,CIN,20.1,A,C,2028,55
23,Bryce Rainer,DET,20.6,A,SS,2028,55
24,Luis Peña,MIL,19.3,A+,SS,2028,55
25,Rainiel Rodriguez,STL,19.1,A+,C,2028,55
26,Chase DeLauter,CLE,24.4,MLB,RF,2026,55
27,Andrew Painter,PHI,22.9,AAA,SP,2026,55
28,Carson Williams,TBR,22.6,MLB,SS,2026,55
29,Jarlin Susana,WSN,21.9,AA,SP,2027,55
30,Sebastian Walcott,TEX,19.9,AA,SS,2028,55
31,Walker Jenkins,MIN,21.0,AAA,CF,2026,50
32,Carter Jensen,KCR,22.6,MLB,C,2026,50
33,Caleb Bonemer,CHW,20.4,A+,3B,2029,50
34,Sal Stewart,CIN,22.2,MLB,3B,2026,50
35,Ryan Waldschmidt,ARI,23.4,AA,LF,2026,50
36,Noah Schultz,CHW,22.5,AAA,SP,2027,50
37,Brandon Sproat,MIL,25.4,MLB,SP,2026,50
38,Connelly Early,BOS,23.9,MLB,SP,2026,50
39,Dylan Beavers,BAL,24.5,MLB,LF,2026,50
40,Ralphy Velazquez,CLE,20.7,AA,1B,2027,50
41,Zyhir Hope,LAD,21.1,AA,RF,2028,50
42,Angel Genao,CLE,21.7,AA,SS,2027,50
43,Eduardo Quintero,LAD,20.4,A+,CF,2028,50
44,Josuar Gonzalez,SFG,18.3,R,SS,2031,50
45,Seth Hernandez,PIT,19.6,R,SP,2029,50
46,Eduardo Tait,MIN,19.5,A+,C,2029,50
47,Ethan Holliday,COL,19.0,A,3B,2029,50
48,Arjun Nimmala,TOR,20.3,A+,SS,2028,50
49,George Lombard Jr.,NYY,20.7,AA,SS,2027,50
50,Kade Anderson,SEA,21.6,R,SP,2026,50
51,Jonny Farmelo,SEA,21.4,A+,CF,2028,50
52,Tyler Bremner,LAA,21.8,R,SP,2026,50
53,Elmer Rodríguez,NYY,22.5,AAA,SP,2026,50
54,Travis Bazzana,CLE,23.5,AAA,2B,2026,50
55,Jefferson Rojas,CHC,20.8,AA,SS,2027,50
56,Joe Mack,MIA,23.1,AAA,C,2026,50
57,George Klassen,LAA,24.1,AAA,SP,2026,50
58,Jonah Tong,NYM,22.7,MLB,SP,2026,50
59,Brody Hopkins,TBR,24.1,AA,SP,2026,50
60,Kevin Alcántara,CHC,23.6,MLB,CF,2026,50
61,Emil Morales,LAD,19.4,A,SS,2030,50
62,Owen Caissie,MIA,23.6,MLB,RF,2026,50
63,Josue Briceño,DET,21.4,AA,1B,2027,50
64,Luis De León,BAL,22.8,AA,SP,2027,50
65,Hagen Smith,CHW,22.5,AA,SP,2027,50
66,Lazaro Montes,SEA,21.3,AA,RF,2027,50
67,Charlie Condon,COL,22.8,AA,LF,2027,50
68,JR Ritchie,ATL,22.6,AAA,SP,2026,50
69,Dax Kilby,NYY,19.2,A,SS,2030,50
70,Yolfran Castillo,TEX,19.0,A,SS,2030,50
71,Caden Scarborough,TEX,20.9,A+,SP,2028,50
72,Jaxon Wiggins,CHC,24.4,AAA,SP,2027,50
73,Carlos Lagrange,NYY,22.7,AA,SIRP,2028,50
74,Harry Ford,WSN,23.0,MLB,C,2026,50
75,Jett Williams,MIL,22.3,AAA,CF,2026,50
76,Jeferson Quero,MIL,23.4,AAA,C,2026,50
77,Jhonny Level,SFG,18.9,A,SS,2030,50
78,Michael Arroyo,SEA,21.3,AA,2B,2027,50
79,Jack Wenninger,NYM,23.9,AA,SP,2027,50
80,Robby Snelling,MIA,22.2,AAA,SP,2026,50
81,Gage Jump,ATH,22.8,AA,SP,2026,50
82,Parker Messick,CLE,25.3,MLB,SP,2026,50
83,Trey Gibson,BAL,23.7,AAA,SP,2026,50
84,Moisés Ballesteros,CHC,22.3,MLB,C,2026,50
85,Jacob Reimer,NYM,22.0,AA,3B,2027,50
86,Felnin Celesten,SEA,20.4,A+,SS,2029,50
87,Aiva Arquette,MIA,22.3,A+,SS,2028,50
88,Logan Henderson,MIL,24.0,MLB,SP,2026,50
89,David Davalillo,TEX,23.5,AA,SP,2026,50
90,Didier Fuentes,ATL,20.7,MLB,SP,2026,50
91,Khal Stephen,CLE,23.2,AA,SP,2026,50
92,Michael Forret,TBR,21.9,AA,SP,2026,50
93,Jimmy Crooks,STL,24.6,MLB,C,2026,50
94,Jurrangelo Cijntje,STL,22.7,AA,SP,2028,50
95,Christian Oppor,CHW,21.6,A+,SP,2027,50
96,Kyson Witherspoon,BOS,21.5,R,SP,2027,50
97,Kaelen Culpepper,MIN,23.1,AA,SS,2027,50
98,Tommy Troy,ARI,24.1,AAA,2B,2026,50
99,Roldy Brito,COL,18.8,A,CF,2028,50
100,Braden Montgomery,CHW,22.8,AA,RF,2027,50
101,Edward Florentino,PIT,19.3,A,LF,2029,50
102,Rhett Lowder,CIN,23.9,MLB,SP,2026,50
103,Winston Santos,TEX,23.8,AAA,SP,2026,50
104,Tanner McDougal,CHW,22.9,AA,SP,2026,50
105,Thayron Liranzo,DET,22.6,AA,C,2027,50
106,Blake Mitchell,KCR,21.5,A+,C,2027,50
107,River Ryan,LAD,27.5,MLB,SP,2026,50
108,Jake Bloss,TOR,24.6,MLB,SP,2026,50
109,Travis Sykora,WSN,21.8,AA,SP,2026,50
110,Ethan Salas,SDP,19.7,AA,C,2028,50
