Rank,Name,Value,Age,Positions,Team,Level
1,"Shohei Ohtani",10000,32,"SP, UT","LAD","MLB"
2,"Bobby Witt Jr.",9952,26.1,"SS","KC","MLB"
3,"Nick Kurtz",8151,23.4,"1B","ATH","MLB"
4,"Paul Skenes",7530,24.1,"SP","PIT","MLB"
5,"James Wood",7455,23.8,"OF","WSH","MLB"
6,"Juan Soto",7408,27.7,"OF","NYM","MLB"
7,"Junior Caminero",7358,23,"3B","TB","MLB"
8,"Elly De La Cruz",6777,24.5,"SS","CIN","MLB"
9,"Jacob Misiorowski",6463,24.3,"SP","MIL","MLB"
10,"Corbin Carroll",6421,25.9,"OF","AZ","MLB"
11,"Konnor Griffin",6190,20.2,"SS","PIT","MLB"
12,"Jackson Chourio",5979,22.4,"OF","MIL","MLB"
13,"Yordan Alvarez",5934,29.1,"OF","HOU","MLB"
14,"Kevin McGonigle",5696,21.9,"3B, SS","DET","MLB"
15,"Tarik Skubal",5616,29.7,"SP","DET","MLB"
16,"Julio Rodriguez",5523,25.6,"OF","SEA","MLB"
17,"Ronald Acuna Jr.",5327,28.6,"OF","ATL","MLB"
18,"Aaron Judge",5272,34.2,"OF","NYY","MLB"
19,"Cam Schlittler",5251,25.4,"SP","NYY","MLB"
20,"Ben Rice",5147,27.4,"C, 1B","NYY","MLB"
21,"Chase Burns",5073,23.5,"SP","CIN","MLB"
22,"Pete Crow-Armstrong",5015,24.3,"OF","CHC","MLB"
23,"JJ Wetherholt",4822,23.9,"2B, SS","STL","MLB"
24,"Gunnar Henderson",4747,25.1,"SS","BAL","MLB"
25,"Cristopher Sanchez",4639,29.6,"SP","PHI","MLB"
26,"Yoshinobu Yamamoto",4587,27.9,"SP","LAD","MLB"
27,"Vladimir Guerrero Jr.",4375,27.3,"1B","TOR","MLB"
28,"Garrett Crochet",4360,27.1,"SP","BOS","MLB"
29,"Drake Baldwin",4266,25.3,"C","ATL","MLB"
30,"Roman Anthony",4254,22.2,"OF","BOS","MLB"
31,"Jesus Made",4143,19.2,"SS","MIL","AA"
32,"Fernando Tatis Jr.",4092,27.5,"2B, OF","SD","MLB"
33,"CJ Abrams",3888,25.8,"SS","WSH","MLB"
34,"Bryan Woo",3880,26.5,"SP","SEA","MLB"
35,"Brice Turang",3849,26.7,"2B","MIL","MLB"
36,"Sal Stewart",3826,22.6,"1B, 3B","CIN","MLB"
37,"Jose Ramirez",3791,33.8,"3B","CLE","MLB"
38,"Nolan McLean",3692,24.9,"SP","NYM","MLB"
39,"Hunter Brown",3675,27.9,"SP","HOU","MLB"
40,"Kade Anderson",3584,22,"SP","SEA","AA"
41,"Leo De Vries",3450,19.8,"SS","ATH","AA"
42,"Jordan Walker",3447,24.2,"OF","STL","MLB"
43,"Wyatt Langford",3393,24.7,"OF","TEX","MLB"
44,"Hunter Greene",3381,26.9,"SP","CIN","MLB"
45,"Mason Miller",3206,27.9,"RP","SD","MLB"
46,"Kyle Tucker",3204,29.5,"OF","LAD","MLB"
47,"Trey Yesavage",3043,22.9,"SP","TOR","MLB"
48,"Zach Neto",3026,25.5,"SS","LAA","MLB"
49,"Samuel Basallo",3013,21.9,"C","BAL","MLB"
50,"Oneil Cruz",2955,27.8,"OF","PIT","MLB"
51,"Jac Caglianone",2948,23.4,"1B, OF","KC","MLB"
52,"Riley Greene",2943,25.8,"OF","DET","MLB"
53,"Munetaka Murakami",2921,26.5,"1B, 3B","CWS","MLB"
54,"Logan Gilbert",2913,29.2,"SP","SEA","MLB"
55,"Kyle Schwarber",2902,33.4,"UT","PHI","MLB"
56,"Shea Langeliers",2898,28.7,"C","ATH","MLB"
57,"Travis Bazzana",2867,23.9,"2B","CLE","MLB"
58,"Seth Hernandez",2865,20.1,"SP","PIT","A+"
59,"Matt Olson",2834,32.3,"1B","ATL","MLB"
60,"Payton Tolle",2805,23.7,"SP","BOS","MLB"
61,"Jackson Merrill",2782,23.2,"OF","SD","MLB"
62,"Eury Perez",2770,23.3,"SP","MIA","MLB"
63,"Bryce Eldridge",2705,21.7,"1B","SF","MLB"
64,"Joe Ryan",2704,30.1,"SP","MIN","MLB"
65,"George Kirby",2635,28.5,"SP","SEA","MLB"
66,"Logan Webb",2634,29.7,"SP","SF","MLB"
67,"Tyler Soderstrom",2621,24.6,"1B, OF","ATH","MLB"
68,"Ketel Marte",2591,32.8,"2B","AZ","MLB"
69,"Jazz Chisholm Jr.",2583,28.5,"2B, 3B","NYY","MLB"
70,"Max Fried",2560,32.5,"SP","NYY","MLB"
71,"Gavin Williams",2485,26.9,"SP","CLE","MLB"
72,"Bryce Harper",2438,33.8,"1B","PHI","MLB"
73,"Dylan Cease",2434,30.6,"SP","TOR","MLB"
74,"Colt Emerson",2425,20.9,"3B, SS","SEA","MLB"
75,"Andy Pages",2417,25.6,"OF","LAD","MLB"
76,"Maikel Garcia",2404,26.4,"2B, 3B, SS","KC","MLB"
77,"Michael Harris II",2333,25.4,"OF","ATL","MLB"
78,"Josue De Paula",2320,21.2,"OF","LAD","AA"
79,"Pete Alonso",2287,31.6,"1B","BAL","MLB"
80,"Colson Montgomery",2268,24.4,"3B, SS","CWS","MLB"
81,"Chase DeLauter",2244,24.8,"OF","CLE","MLB"
82,"Carter Jensen",2225,23,"C","KC","MLB"
83,"Hunter Goodman",2201,26.8,"C","COL","MLB"
84,"Cal Raleigh",2177,29.6,"C","SEA","MLB"
85,"Kyle Harrison",2177,24.9,"SP","MIL","MLB"
86,"William Contreras",2166,28.6,"C","MIL","MLB"
87,"Francisco Lindor",2151,32.7,"SS","NYM","MLB"
88,"Eli Willits",2100,18.6,"SS","WSH","A+"
89,"Max Clark",2099,21.6,"OF","DET","AAA"
90,"Miguel Vargas",2084,26.7,"1B, 3B","CWS","MLB"
91,"Walker Jenkins",2050,21.4,"OF","MIN","AAA"
92,"Sebastian Walcott",1984,20.3,"SS","TEX","AA"
93,"Parker Messick",1973,25.7,"SP","CLE","MLB"
94,"Carson Benge",1958,23.5,"OF","NYM","MLB"
95,"Jesus Luzardo",1933,28.8,"SP","PHI","MLB"
96,"Bubba Chandler",1929,23.8,"SP","PIT","MLB"
97,"Connelly Early",1888,24.3,"SP","BOS","MLB"
98,"Bryce Miller",1883,27.9,"SP","SEA","MLB"
99,"Jackson Holliday",1864,22.6,"2B","BAL","MLB"
100,"Geraldo Perdomo",1852,26.7,"SS","AZ","MLB"
101,"Freddy Peralta",1845,30.1,"SP","NYM","MLB"
102,"Rafael Devers",1831,29.7,"1B","SF","MLB"
103,"Spencer Schwellenbach",1805,26.1,"SP","ATL","MLB"
104,"Austin Riley",1770,29.3,"3B","ATL","MLB"
105,"Cody Bellinger",1756,31,"OF","NYY","MLB"
106,"Cole Ragans",1716,28.6,"SP","KC","MLB"
107,"Braxton Ashcraft",1714,26.8,"SP, RP","PIT","MLB"
108,"Ivan Herrera",1687,26.1,"C","STL","MLB"
109,"Braden Montgomery",1676,23.3,"OF","CWS","MLB"
110,"Jared Jones",1638,24.9,"SP","PIT","MLB"
111,"Spencer Strider",1636,27.7,"SP","ATL","MLB"
112,"Shane McClanahan",1633,29.2,"SP","TB","MLB"
113,"Byron Buxton",1626,32.6,"OF","MIN","MLB"
114,"Bo Bichette",1606,28.4,"3B, SS","NYM","MLB"
115,"Edward Florentino",1587,19.7,"OF","PIT","A+"
116,"Noah Schultz",1574,22.9,"SP","CWS","MLB"
117,"Ryan Sloan",1572,20.5,"SP","SEA","AA"
118,"Thomas White",1547,21.8,"SP","MIA","AAA"
119,"Luis Pena",1530,19.7,"2B, SS","MIL","A+"
120,"Jonathan Aranda",1527,28.2,"1B","TB","MLB"
121,"Robby Snelling",1507,22.6,"SP","MIA","MLB"
122,"Chris Sale",1494,37.3,"SP","ATL","MLB"
123,"Zyhir Hope",1489,21.5,"OF","LAD","AA"
124,"Mookie Betts",1481,33.8,"SS","LAD","MLB"
125,"Franklin Arias",1462,20.7,"SS","BOS","AA"
126,"Xavier Edwards",1455,26.9,"2B, SS","MIA","MLB"
127,"Nico Hoerner",1453,29.2,"2B, SS","CHC","MLB"
128,"Logan Henderson",1448,24.4,"SP","MIL","MLB"
129,"Jacob Wilson",1419,24.3,"SS","ATH","MLB"
130,"Adley Rutschman",1416,28.4,"C","BAL","MLB"
131,"Trea Turner",1410,33.1,"SS","PHI","MLB"
132,"Rainiel Rodriguez",1409,19.5,"C","STL","AA"
133,"Jose Soriano",1407,27.7,"SP","LAA","MLB"
