Name,Team,Position,MLB Rank,MLB Preseason Rank,KLaw Rank,ETA
Jesús Made,Milwaukee Brewers,SS,1,3,3,2026
Leo De Vries,Athletics,SS,2,4,13,2026
Eli Willits,Washington Nationals,SS,3,13,53,2028
Josue De Paula,Los Angeles Dodgers,OF,4,15,20,2027
Kade Anderson,Seattle Mariners,LHP,5,21,28,2027
Seth Hernandez,Pittsburgh Pirates,RHP,6,29,100,2028
Franklin Arias,Boston Red Sox,SS,7,31,12,2027
Ryan Sloan,Seattle Mariners,RHP,8,33,21,2028
Theo Gillen,Tampa Bay Rays,OF,9,76,67,2028
Sebastian Walcott,Texas Rangers,SS/3B,10,7,16,2027
Mike Sirota,Los Angeles Dodgers,OF,11,60,51,2027
Rainiel Rodriguez,St. Louis Cardinals,C,12,37,29,2028
Max Clark,Detroit Tigers,OF,13,10,5,2026
Walker Jenkins,Minnesota Twins,OF,14,14,11,2026
Josuar Gonzalez,San Francisco Giants,SS,15,44,38,2029
Caleb Bonemer,Chicago White Sox,3B/SS,16,61,44,2028
Ethan Holliday,Colorado Rockies,SS,17,24,39,2029
Luis Peña,Milwaukee Brewers,INF,18,26,27,2028
Zyhir Hope,Los Angeles Dodgers,OF,19,27,36,2027
George Lombard Jr.,New York Yankees,INF,20,32,24,2027
Thomas White,Miami Marlins,LHP,21,17,33,2026
Liam Doyle,St. Louis Cardinals,LHP,22,34,26,2027
Braden Montgomery,Chicago White Sox,OF,23,36,30,2026
Alfredo Duno,Cincinnati Reds,C,24,38,80,2028
Jamie Arnold,Athletics,LHP,25,41,43,2027
Lazaro Montes,Seattle Mariners,OF,26,43,71,2027
JoJo Parker,Toronto Blue Jays,SS,27,45,60,2029
Ryan Waldschmidt,Arizona Diamondbacks,OF,28,59,34,2026
Aidan Miller,Philadelphia Phillies,SS,29,23,6,2026
Edward Florentino,Pittsburgh Pirates,OF/1B,30,50,42,2028
Eduardo Quintero,Los Angeles Dodgers,OF,31,30,9,2028
Kaelen Culpepper,Minnesota Twins,SS,32,52,82,2027
Ethan Salas,San Diego Padres,C,33,,70,2027
Luis Hernández,San Francisco Giants,SS,34,,,2030
Travis Sykora,Washington Nationals,RHP,35,54,,2028
Gage Jump,Athletics,LHP,36,57,37,2026
Ralphy Velazquez,Cleveland Guardians,1B/OF,37,89,,2027
Robby Snelling,Miami Marlins,LHP,38,39,63,2026
Eduardo Tait,Minnesota Twins,C,39,65,93,2028
Bryce Rainer,Detroit Tigers,SS,40,35,17,2028
Aiva Arquette,Miami Marlins,SS,41,47,32,2028
Angel Genao,Cleveland Guardians,SS,42,66,31,2026
Michael Arroyo,Seattle Mariners,2B/OF,43,67,49,2026
Cam Caminiti,Atlanta Braves,LHP,44,68,35,2027
Tyler Bremner,Los Angeles Angels,RHP,45,81,,2026
Arjun Nimmala,Toronto Blue Jays,SS,46,77,89,2028
Emil Morales,Los Angeles Dodgers,SS,47,92,65,2029
Joshua Báez,St. Louis Cardinals,OF,48,87,,2026
JR Ritchie,Atlanta Braves,RHP,49,90,,2026
Jarlin Susana,Washington Nationals,RHP,50,80,,2027
Jhonny Level,San Francisco Giants,SS,51,,,2029
Steele Hall,Cincinnati Reds,SS,52,83,,2029
Gage Wood,Philadelphia Phillies,RHP,53,,,2027
Anthony Eyanson,Boston Red Sox,RHP,54,,,2027
Hagen Smith,Chicago White Sox,LHP,55,72,58,2026
Cooper Pratt,Milwaukee Brewers,SS,56,64,99,2026
Emmanuel Rodriguez,Minnesota Twins,OF,57,74,57,2026
Josue Briceño,Detroit Tigers,C/1B,58,40,59,2027
Nate George,Baltimore Orioles,OF,59,93,78,2028
Billy Carlson,Chicago White Sox,SS,60,73,66,2029
Dax Kilby,New York Yankees,SS,61,94,,2028
Cooper Ingle,Cleveland Guardians,C,62,99,,2026
Jonny Farmelo,Seattle Mariners,OF,63,78,90,2028
Charlie Condon,Colorado Rockies,1B/OF,64,70,46,2026
Caden Scarborough,Texas Rangers,RHP,65,,,2027
Jefferson Rojas,Chicago Cubs,SS,66,,79,2027
Luis Lara,Milwaukee Brewers,OF,67,,,2026
Kendry Chourio,Kansas City Royals,RHP,68,,61,2029
Kevin Alvarez,Houston Astros,OF,69,,,2029
River Ryan,Los Angeles Dodgers,RHP,70,,55,2026
Roldy Brito,Colorado Rockies,OF/2B,71,,,2028
Kayson Cunningham,Arizona Diamondbacks,SS,72,,,2029
Felnin Celesten,Seattle Mariners,SS,73,,77,2028
Nathan Flewelling,Tampa Bay Rays,C,74,,,2028
Karson Milbrandt,Miami Marlins,RHP,75,,,2027
Elmer Rodríguez,New York Yankees,RHP,76,82,,2026
Josiah Hartshorn,Chicago Cubs,OF/1B,77,,,2028
Ronny Cruz,Washington Nationals,INF,78,,,2029
Eric Hartman,Atlanta Braves,OF,79,,,2029
Jonah Tong,New York Mets,RHP,80,48,72,2026
Jett Williams,Milwaukee Brewers,3B/SS/OF,81,51,45,2026
Ike Irish,Baltimore Orioles,OF/1B,82,,85,2028
Carlos Lagrange,New York Yankees,RHP,83,79,88,2026
Josh Hammond,Kansas City Royals,SS/3B,84,,,2029
Justin Gonzales,Boston Red Sox,OF,85,,,2028
Charles Davalan,Los Angeles Dodgers,OF,86,,,2028
Xavier Neyens,Houston Astros,3B/SS,87,,,2029
Edwin Arroyo,Cincinnati Reds,SS/2B,88,,,2026
Christian Zazueta,Los Angeles Dodgers,RHP,89,,,2028
Devin Fitz-Gerald,Washington Nationals,INF,90,,,2028
Seaver King,Washington Nationals,SS,91,,94,2027
Jaxon Wiggins,Chicago Cubs,RHP,92,58,,2026
Francisco Renteria,Philadelphia Phillies,OF,93,,,2031
Josh Adamczewski,Milwaukee Brewers,OF,94,,,2028
James Tibbs III,Los Angeles Dodgers,1B/OF,95,,,2027
Caden Bodine,Tampa Bay Rays,C,96,,,2029
Braylon Doughty,Cleveland Guardians,RHP,97,,,2028
Nolan Perry,Toronto Blue Jays,RHP,98,,,2027
Tate Southisene,Atlanta Braves,2B/SS,99,,,2029
Jaison Chourio,Cleveland Guardians,OF,100,,,2027
Konnor Griffin,Pittsburgh Pirates,SS,,,1,
Kevin McGonigle,Detroit Tigers,SS,,,2,
Colt Emerson,Seattle Mariners,SS,,,4,
JJ Wetherholt,St. Louis Cardinals,2B,,,7,
Samuel Basallo,Baltimore Orioles,C,,,8,
Carter Jensen,Kansas City Royals,C,,,10,
Bubba Chandler,Pittsburgh Pirates,RHP,,,14,
Nolan McLean,New York Mets,RHP,,,15,
Carson Benge,New York Mets,OF,,,18,
Sal Stewart,Cincinnati Reds,3B,,,19,
Andrew Painter,Philadelphia Phillies,RHP,,,22,
Bryce Eldridge,San Francisco Giants,1B,,,23,
Trey Yesavage,Toronto Blue Jays,RHP,,,25,
Payton Tolle,Boston Red Sox,LHP,,,40,
Kevin Alcantara,Chicago Cubs,OF,,,41,
Moises Ballesteros,Chicago Cubs,C,,,47,
Justin Crawford,Philadelphia Phillies,CF,,,48,
Travis Bazzana,Cleveland Guardians,2B,,,50,
Joe Mack,Miami Marlins,C,,,52,
Carson Williams,Tampa Bay Rays,SS,,,54,
Blake Mitchell,Kansas City Royals,C,,,56,
Kyson Witherspoon,Boston Red Sox,RHP,,,62,
Connelly Early,Boston Red Sox,LHP,,,64,
Tyson Lewis,Cincinnati Reds,SS,,,68,
Gavin Kilen,San Francisco Giants,2B,,,69,
Wehiwa Aloy,Baltimore Orioles,SS,,,73,
Jeferson Quero,Milwaukee Brewers,C,,,74,
Brandon Sproat,Milwaukee Brewers,RHP,,,75,
Gavin Fien,Washington Nationals,OF,,,76,
Chase DeLauter,Cleveland Guardians,OF,,,81,
Brody Hopkins,Tampa Bay Rays,RHP,,,83,
Joey Oakie,Cleveland Guardians,RHP,,,84,
Aroon Escobar,Philadelphia Phillies,2B,,,86,
Alex Freeland,Los Angeles Dodgers,SS,,,87,
Max Anderson,Detroit Tigers,2B,,,91,
Parker Messick,Cleveland Guardians,LHP,,,92,
Noah Schultz,Chicago White Sox,LHP,,,95,
Daniel Pierce,Tampa Bay Rays,SS,,,96,
Enrique Bradfield Jr.,Baltimore Orioles,CF,,,97,
A.J. Ewing,New York Mets,OF,,,98,
