Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",6,2,8,2.76144,12,12,0,0,,73,288,58,24,22,7,13,,3,90,11.0656,1.54688,7.1535,0.893907,0.311825,0.0435905,0.26823434978723526,0.212364,0.965302,0.28833,0.764654,,,2.5518,2.38914,2.36321,7.019999980926514,,,,,,,435.3,5.963013698630137,406,5.561643835616438,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",5,3,8,3.17995,13,13,0,0,,83,339,75,32,29,7,18,,2,85,9.21058,1.98161,4.64804,0.814195,0.250058,0.0537986,0.19625908136367798,0.23418,1.12065,0.29656,0.741046,,,2.97086,2.29105,2.19572,24.75,,,,,,,443.1,5.33855421686747,434,5.228915662650603,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",6,3,8,2.87318,13,13,0,0,,73,296,59,25,23,7,18,,3,85,10.4093,2.25283,4.62054,0.848426,0.286804,0.0620715,0.22473252937197685,0.215678,1.05669,0.286223,0.767468,,,2.89321,2.11314,2.28913,9.649999618530273,,,,,,,407.70000000000005,5.5849315068493155,381,5.219178082191781,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",6,4,8,3.28242,13,13,0,0,,79,326,75,31,29,6,17,,2,72,8.26634,1.99543,4.14264,0.693403,0.221999,0.0535889,0.16841056197881699,0.243613,1.16848,0.300856,0.727926,,,3.01681,1.95486,1.88286,57.189998626708984,,,,,,,402.80000000000007,5.09873417721519,404,5.113924050632911,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",5,3,8,3.28113,13,13,0,0,,71,295,55,28,26,7,29,,2,90,11.424,3.622,3.15407,0.863041,0.304717,0.096611,0.20810650289058685,0.209298,1.18459,0.289343,0.750537,,,3.09308,1.9256,1.72416,74.7699966430664,,,,,,,383.29999999999995,5.398591549295774,351,4.943661971830986,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Chris Sale","ATL",6,3,8,3.13285,12,12,0,0,,71,292,62,27,25,7,19,,5,85,10.7076,2.3613,4.53464,0.868186,0.289697,0.0638853,0.2258114367723465,0.229895,1.12905,0.310109,0.755219,,,2.9846,1.85652,1.8807,39.36000061035156,,,,,,,376.09999999999997,5.297183098591549,362,5.098591549295775,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Zack Wheeler","PHI",5,3,8,3.43123,13,13,0,0,,76,311,65,31,29,9,20,,3,82,9.73592,2.3614,4.12294,1.01389,0.264363,0.0641201,0.20024286210536957,0.225751,1.118,0.286231,0.7327,,,3.30577,1.84398,1.81562,110.48999786376953,,,,,,,377.69999999999993,4.969736842105262,358,4.7105263157894735,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",5,4,7,3.70903,13,13,0,0,,76,318,67,34,32,9,24,,3,88,10.3583,2.76513,3.74603,1.023,0.276733,0.0738736,0.20285917073488235,0.229347,1.18201,0.298519,0.717642,,,3.30932,1.84176,1.49138,70.58999633789062,,,,,,,372.49999999999994,4.901315789473683,358,4.7105263157894735,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Greene","CIN",4,3,7,3.62936,12,12,0,0,,70,281,51,31,28,8,22,,6,83,10.7378,2.89768,3.70565,1.03932,0.295487,0.0797395,0.21574749052524567,0.20366,1.06043,0.268828,0.692181,,,3.44945,1.80411,1.51148,444.32000732421875,,,,,,,369,5.271428571428571,328,4.685714285714286,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Ranger Suarez","BOS",5,3,7,3.33694,12,12,0,0,,70,293,67,28,26,6,20,,2,65,8.3583,2.63946,3.16667,0.717165,0.22002,0.0694801,0.15054012089967728,0.245386,1.25103,0.30334,0.74422,,,3.2315,1.72944,1.80389,183.97999572753906,,,,,,,334,4.771428571428571,336,4.8,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
