Rank,Player,Position,Team,Level,ETA,Age,Status,Score,ADP,Ros%
18,Carter Jensen,C,Kansas City Royals,MLB,2026,22,FA,45.81,344.4,88%
38,Alfredo Duno,C,Cincinnati Reds,A,2028,20,FA,0,-,50%
42,Owen Caissie,OF,Miami Marlins,MLB,2026,23,FA,52.9,388.8,84%
52,Kaelen Culpepper,SS,Minnesota Twins,AA,2027,23,FA,15.88,485.9,57%
55,Moisés Ballesteros,C,Chicago Cubs,MLB,2026,22,FA,60.14,375.6,82%
56,Connelly Early,LHP,Boston Red Sox,MLB,2026,23,FA,56.96,238.7,93%
62,Joe Mack,C,Miami Marlins,MLB,2026,23,FA,12.17,460,52%
66,Angel Genao,SS,Cleveland Guardians,MLB,2026,21,FA,0,-,45%
74,Emmanuel Rodriguez,OF,Minnesota Twins,MLB,2026,22,FA,20.03,486.7,64%
76,Theo Gillen,OF,Tampa Bay Rays,A,2028,20,FA,0,-,47%
79,Carlos Lagrange,RHP,New York Yankees,AA,2026,22,FA,31.15,472.4,53%
82,Elmer Rodríguez,RHP,New York Yankees,MLB,2026,22,FA,52.24,482.3,56%
83,Steele Hall,SS,Cincinnati Reds,ROK,2029,18,FA,0,462.1,46%
87,Joshua Baez,OF,St. Louis Cardinals,MLB,2026,22,FA,11.7,471.2,58%
88,Kruz Schoolcraft,LHP,San Diego Padres,A,2029,18,FA,0,-,45%
89,Ralphy Velazquez,1B/OF,Cleveland Guardians,AA,2027,20,FA,10.25,469.8,49%
93,Nate George,OF,Baltimore Orioles,A+,2028,19,FA,0,-,35%
95,Parker Messick,LHP,Cleveland Guardians,MLB,2026,25,FA,61.56,329.3,87%
96,Hunter Barco,LHP,Pittsburgh Pirates,MLB,2026,25,FA,37.45,484.6,51%
97,A.J. Ewing,OF/2B,New York Mets,AA,2027,21,FA,0,-,35%
98,Leonardo Bernal,C,St. Louis Cardinals,MLB,2027,21,FA,0,464.7,25%
99,Cooper Ingle,C,Cleveland Guardians,AAA,2026,23,FA,3.95,482.7,31%
