Player,Block_Franchise,Block_Type,name_norm,Player Name,Franchise,Contract Type,Salary,Contract Length,Contract Starts,Contract Ends,2025 Salary Hit,Name,Team,WAR,FPTS,Player_Type
Shohei Ohtani,Tyler Hart,Full,shohei ohtani,Shohei Ohtani,Tyler Hart, FA Contract ," $ 34,500,000 ",5,2024.0,2028.0," $ 34,500,000 ",Shohei Ohtani,LAD,5.25971,1125.7,Batter
Junior Caminero,Tyler Hart,Full,junior caminero,Junior Caminero ,Tyler Hart, YP Contract , YP , YP ,2024.0,2026.0," $ 1,000,000 ",Junior Caminero,TBR,4.23946,775.8,Batter
Jackson Chourio,Tyler Hart,Full,jackson chourio,Jackson Chourio,Tyler Hart, FA Contract ," $ 6,500,000 ",3,2024.0,2026.0," $ 6,500,000 ",Jackson Chourio,MIL,3.0513,763.4,Batter
Nick Kurtz,Tyler Hart,Full,nick kurtz,Nick Kurtz,Tyler Hart, YP Contract , YP ,YP,2025.0,2027.0," $ 500,000 ",Nick Kurtz,ATH,3.09134,740.9,Batter
Samuel Basallo,Tyler Hart,Partial,samuel basallo,Samuel Basallo,Tyler Hart, Minors , YP ,YP,,, $ -   ,Samuel Basallo,BAL,1.02882,366.1,Batter
Jesus Made,Tyler Hart,Partial,jesus made,Jesus Made,Tyler Hart, Minors , YP ,YP,,, $ -   ,Jesús Made,MIL,6.15657e-05,-1.0,Batter
Fernando Tatis Jr,Tyler Hart,Partial,fernando tatis,Fernando Tatis Jr,Tyler Hart, FA Contract ," $ 25,700,000 ",4,2024.0,2027.0," $ 25,700,000 ",Fernando Tatis Jr.,SDP,5.0858,917.0,Batter
Spencer Schwellenbach,Tyler Hart,Partial,spencer schwellenbach,Spencer Schwellenbach,Tyler Hart, FA Contract ," $ 7,300,000 ",3,2025.0,2027.0," $ 7,300,000 ",Spencer Schwellenbach,ATL,2.98116,770.4,Pitcher
Matt Olson,Tyler Hart,Partial,matt olson,Matt Olson,Tyler Hart, FA Contract ," $ 24,000,000 ",4,2024.0,2027.0," $ 24,000,000 ",Matt Olson,ATL,3.20447,883.1,Batter
Riley Greene,Tyler Hart,Partial,riley greene,Riley Greene ,Tyler Hart, FA Contract ," $ 17,000,000 ",4,2025.0,2028.0," $ 17,000,000 ",Riley Greene,DET,2.8436,748.6,Batter
Kyle Tucker,Ross & Jack Kantor,Full,kyle tucker,Kyle Tucker,Ross & Jack Kantor, FA Contract ," $ 26,100,000 ",4,2024.0,2027.0," $ 26,100,000 ",Kyle Tucker,,3.68523,805.8,Batter
Juan Soto,Ross & Jack Kantor,Full,juan soto,Juan Soto,Ross & Jack Kantor, FA Contract ," $ 36,000,000 ",5,2024.0,2028.0," $ 36,000,000 ",Juan Soto,NYM,5.57206,1056.8,Batter
Tarik Skubal,Ross & Jack Kantor,Full,tarik skubal,Tarik Skubal,Ross & Jack Kantor, FA Contract ," $ 9,200,000 ",4,2024.0,2027.0," $ 9,200,000 ",Tarik Skubal,DET,5.85825,1149.0,Pitcher
