"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","H/AB","R","HR","RBI","SB","AVG","OBP","SLG","GP"
"*01cgo*","1B","Freddie Freeman","LAD","1B","Act","36","29,520,000","A","100","56.25","155/544","84","22","88","6",".285",".370",".485","146"
"*02w7p*","3B","Alex Bregman","CHC","3B","Act","31","9,480,000","A","100","83.89","146/551","83","25","81","1",".265",".346",".463","139"
"*05js5*","CI","Coby Mayo","BAL","1B","Act","24","1,000,000","A","78","423.74","90/403","46","16","48","5",".223",".318",".404","117"
"*04nb2*","LF","Riley Greene","DET","LF,CF,OF,DH","Act","25","20,400,000","A","100","65.08","150/589","82","29","91","3",".255",".321",".467","154"
"*04fhb*","CF","Julio Rodriguez","SEA","CF,OF","Act","25","39,720,000","A","100","11.45","171/628","103","28","93","30",".272",".329",".457","156"
"*04y4e*","RF","Corbin Carroll","ARI","RF,OF","Act","25","33,000,000","A","100","7.1","149/581","115","29","81","35",".256",".343",".508","151"
"*04prt*","OF","Lawrence Butler","ATH","CF,RF,OF","Act","25","7,200,000","A","100","126.46","141/577","84","22","69","23",".244",".313",".421","150"
"*05184*","DH","Vinnie Pasquantino","KC","1B,DH","Act","28","6,840,000","A","100","74.05","161/600","74","33","110","1",".268",".332",".495","155"
"*05r1m*","UT","Jordan Lawlar","ARI","3B","Act","23","500,000","A","94","342.09","103/423","53","9","44","22",".243",".339",".404","132"
"*03z62*","1B","Bobby Dalbec","(N/A)","1B","Res","30","0","A","0","-","0","0","0","0","0","0","0","0","0"
"*06f0q*","2B","Kristian Campbell","BOS","2B","Min","23","1,000,000","A","93","379.99","101/390","51","9","43","7",".259",".365",".387","114"
"*06hx4*","SS","Kaelen Culpepper","MIN","SS","Min","23","500,000","A","16","486.09","22/84","10","3","8","3",".262",".340",".405","24"
"*06n8y*","SS","Eli Willits","WSH","SS","Min","18","500,000","A","0","-","0","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","Salary","Contract","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","QS","SV","HLD","BB/9","K","ERA","H/IP","H/AB","R","RBI","HR","SB","AVG","OBP","SLG","GP"
"*03df2*","P","Dylan Cease","TOR","SP","Act","30","17,520,000","A","100","70.55","171","17","0","0","3.74","205","4.00","0.85","0/0","0","0","0","0","0","0","0","32"
"*05mre*","P","Spencer Strider","ATL","SP","Act","27","15,000,000","A","100","82.05","158","15","0","0","3.36","215","4.04","0.85","0/0","0","0","0","0","0","0","0","28"
"*06gwk*","P","Payton Tolle","BOS","RP","Act","23","500,000","A","90","379.17","87","1","0","0","3.10","94","4.24","0.89","0/0","0","0","0","0","0","0","0","44"

