Rank,Name,Team,Player_Type,Position,Salary_M,Dollar_Per_Score,Rostered_By,HR,R,RBI,SB,AVG,OBP,SLG,W,QS,SO,ERA,WHIP,IP,SV,HLD,Strategy_Score,FPTS,WAR,z_HR,z_R,z_RBI,z_QS,z_K,z_ERA,z_WHIP,Block_Type,Blocking_Franchise,Tier
1,Ronald Acuña Jr.,ATL,Batter,Batter,44.0,4.4079069670574365,Steve Cornish,30.7731,110.17,84.9044,24.162,0.285494,0.38803,0.50309,,,135.275,,,,,,9.982061855850114,1045.7,5.2691,1.7111888476155857,3.0511554010780877,1.541577521480144,,,,,Partial,Steve Cornish,Tier 1 - Elite
2,Bobby Witt Jr.,KCR,Batter,Batter,35.7,4.0712425807341,Nick & Alex Gianaris,26.4269,97.2182,86.2704,31.3062,0.291511,0.349368,0.510682,,,105.948,,,,,,8.768821629283218,928.4,6.38615,1.0901664500471204,2.1724518717725974,1.6398691062012647,,,,,,,Tier 1 - Elite
3,Fernando Tatis Jr.,SDP,Batter,Batter,25.7,3.3838584594894296,Tyler Hart,30.3064,97.4287,77.9354,23.7437,0.274794,0.35984,0.502477,,,119.373,,,,,,7.594880314195446,917.0,5.0858,1.644502741834627,2.186733059940946,1.0401177455493311,,,,,Partial,Tyler Hart,Tier 1 - Elite
4,Corbin Carroll,ARI,Batter,Batter,33.0,4.616344636548136,Jake Levine & Johnny Drago,26.8982,91.0918,85.6888,32.5681,0.261203,0.34875,0.499266,,,126.127,,,,,,7.148513076501086,892.0,4.57861,1.1575098433502398,1.7568116285680124,1.5980196291340587,,,,,,,Tier 1 - Elite
5,José Ramírez,CLE,Batter,Batter,20.0,2.879052748786282,Brenden Freedman,26.569,82.6963,87.0738,29.8253,0.275213,0.348333,0.489903,,,72.1929,,,,,,6.94672927004598,871.3,4.30175,1.1104709189382158,1.1872262828798261,1.697678373525532,,,,,,,Tier 1 - Elite
6,Garrett Crochet,BOS,Pitcher,SP,,,,19.5212,70.6296,,,0.219268,,,13.5715,20.7616,238.814,3.01049,1.07399,192.855,0.0,0.0,6.804225946489753,1084.0,5.59019,,,,2.3348788221649888,2.811231068371294,2.5079202305997472,2.567542756245675,,,Tier 1 - Elite
7,Michael Soroka,ARI,Pitcher,SP,,,,18.4401,75.0873,,,0.248294,,,8.789,9.0647,145.866,4.22695,1.32234,148.577,5.649,0.5678,6.752951523829383,646.0000000000002,1.46821,,,,-0.7938623688742622,0.13214419666159358,-0.11006053646306926,-0.17215904116322175,,,Tier 1 - Elite
8,Julio Rodríguez,SEA,Batter,Batter,33.1,5.139390177621936,Brenden Freedman,29.7784,84.4803,90.6497,22.5935,0.274754,0.334297,0.490239,,,134.157,,,,,,6.440452827287732,857.0,5.58504,1.569057565377918,1.3082602006581272,1.954985019063054,,,,,,,Tier 1 - Elite
9,Elly De La Cruz,CIN,Batter,Batter,15.1,2.536391046111444,Nolan Chidester,23.2441,83.1261,81.8924,37.6072,0.263612,0.341835,0.465628,,,154.033,,,,,,5.953340681891263,839.3,4.62364,0.6353806401486087,1.2163856875104953,1.324846735843236,,,,,,,Tier 1 - Elite
10,Bryce Harper,PHI,Batter,Batter,24.4,4.231736420715174,Jake Levine & Johnny Drago,26.9251,82.7258,86.7633,9.172,0.272763,0.367696,0.494792,,,128.49,,,,,,5.765954580856512,871.0,3.54154,1.1613535464689624,1.189227684547125,1.6753361062810896,,,,,,,Tier 1 - Elite
11,Ketel Marte,ARI,Batter,Batter,,,,26.0001,90.264,79.3525,5.8557,0.280125,0.364727,0.494964,,,98.1996,,,,,,5.578402615645399,862.1,4.49146,1.0291815990779472,1.7006502624598967,1.1420862702259789,,,,,,,Tier 1 - Elite
12,Freddie Freeman,LAD,Batter,Batter,24.6,4.490070924842287,Zack Semler,23.9556,88.2507,91.6627,7.4261,0.279229,0.362303,0.469213,,,124.145,,,,,,5.47875532742594,900.9,3.1756,0.7370458731958601,1.5640596869761227,2.0278762162244712,,,,,Partial,Zack Semler,Tier 1 - Elite
13,Pete Alonso,BAL,Batter,Batter,,,,35.1294,87.6208,101.037,2.6104,0.253958,0.336995,0.493137,,,147.343,,,,,,5.187209384421885,870.7,2.69463,2.333654419960969,1.5213246730699845,2.7024112108446783,,,,,,,Tier 1 - Elite
14,Chris Sale,ATL,Pitcher,SP,,,,18.0894,64.9745,,,0.220891,,,12.0899,17.736,205.46,3.19138,1.09201,168.535,0.0,0.0,5.153087463698193,916.2,4.15073,,,,1.5255772681114907,1.8498519798593809,2.118621329728372,2.368753038551662,,,Tier 1 - Elite
15,Jacob deGrom,TEX,Pitcher,SP,,,,24.6831,76.8127,,,0.225878,,,12.0789,18.2323,213.722,3.476,1.09234,184.508,0.0,0.0,4.981386260045644,929.5,4.30954,,,,1.6583298994166036,2.0879917540779283,1.5060819236472691,2.3651126053197498,,,Tier 1 - Elite
16,Cristopher Sánchez,PHI,Pitcher,SP,2.0,0.40796024773873285,JD Barnett,17.6489,77.3882,,,0.242515,,,13.468,21.089,192.403,3.15767,1.17823,198.055,0.0,0.0,4.9024384387589794,981.0,4.68906,,,,2.4224532962518186,1.4735035131477396,2.1911696516277255,1.4176071195961737,Partial,JD Barnett,Tier 1 - Elite
17,Matt Olson,ATL,Batter,Batter,24.0,5.199619949968809,Tyler Hart,30.8217,93.5477,91.0061,1.1675,0.25599,0.34928,0.477671,,,157.32,,,,,,4.615721962553046,883.1,3.20447,1.7181332331758055,1.92343001347369,1.9806300562479795,,,,,Partial,Tyler Hart,Tier 1 - Elite
18,Cole Ragans,KCR,Pitcher,SP,11.0,2.3940569012085198,JD Barnett,17.8325,67.1037,,,0.216084,,,11.8458,17.6211,210.53,3.22649,1.16793,172.018,0.0,0.0,4.594711176015575,908.0,4.24898,,,,1.4948432819399053,1.9959871354255916,2.0430600250150435,1.531232762895196,Partial,JD Barnett,Tier 1 - Elite
19,Francisco Lindor,NYM,Batter,Batter,16.6,3.6942437297701165,Jake Zuckman & Andrew Meyers,26.2375,94.0617,73.2706,22.9672,0.259467,0.336618,0.452258,,,118.199,,,,,,4.493477207859531,827.7,4.89002,1.0631033507651115,1.9583018933716976,0.7044584597461948,,,,,Partial,Jake Zuckman & Andrew Meyers,Tier 1 - Elite
20,Yandy Díaz,TBR,Batter,Batter,,,,21.3908,84.7058,72.6718,2.6888,0.294119,0.367193,0.467464,,,92.3661,,,,,,4.4194498126986375,829.7,2.81215,0.37056521301372375,1.3235590506912025,0.6613713433984592,,,,,,,Tier 1 - Elite
21,Bryan Woo,SEA,Pitcher,SP,,,,26.1644,84.1093,,,0.234757,,,12.1494,19.0891,195.866,3.58908,1.12731,195.095,0.0,0.0,4.341145163089576,901.6,3.28973,,,,1.8875107466908754,1.5733193008648585,1.262718997501351,1.979336998895796,,,Tier 1 - Elite
22,Brent Rooker,ATH,Batter,Batter,,,,30.4818,82.3599,90.7507,5.3677,0.257725,0.334903,0.485611,,,155.096,,,,,,4.153342650411342,807.0,2.16814,1.669565400831799,1.164403519460196,1.9622525520475584,,,,,,,Tier 1 - Elite
23,Logan Gilbert,SEA,Pitcher,SP,13.8,3.413664245293463,Ross & Jack Kantor,20.9773,67.9785,,,0.227512,,,11.0144,16.1895,182.023,3.39244,1.09786,166.486,0.0,0.0,4.042576834856134,824.7000000000002,3.16617,,,,1.1119122584130061,1.174315561515142,1.6859139550299438,2.304218085804159,Partial,Ross & Jack Kantor,Tier 1 - Elite
24,George Kirby,SEA,Pitcher,SP,23.9,6.380061379819542,Jake Levine & Johnny Drago,22.0991,75.4406,,,0.239141,,,11.4747,17.1252,174.012,3.50094,1.11685,178.218,0.0,0.0,3.7460454652672954,842.5999999999999,3.16044,,,,1.3621976444943975,0.943410486319695,1.4524077869468872,2.0947277007315015,,,Tier 1 - Elite
25,Dylan Cease,TOR,Pitcher,SP,14.6,3.9283882827678536,Nick & Alex Gianaris,22.4499,80.0197,,,0.223294,,,12.2999,17.3738,216.007,3.60353,1.21641,184.857,0.0,0.0,3.7165368973438566,900.2,3.7996,,,,1.4286943282390099,2.1538534563400176,1.231620710599967,0.9964200262800018,,,Tier 1 - Elite
26,Trea Turner,PHI,Batter,Batter,17.8,4.914118630760762,Ross & Jack Kantor,17.9146,85.397,64.8545,26.2152,0.280222,0.332064,0.441097,,,110.314,,,,,,3.6222161769921204,760.2,3.94761,-0.12614410971129997,1.370452909417863,0.0988714859750201,,,,,Partial,Ross & Jack Kantor,Tier 1 - Elite
27,Corey Seager,TEX,Batter,Batter,,,,24.8444,70.871,73.8838,2.4976,0.275325,0.358328,0.497412,,,92.2472,,,,,,3.6145412871376,727.6,3.91377,0.8640452535646539,0.3849491596153989,0.7485817392125129,,,,,,,Tier 1 - Elite
28,Jesús Luzardo,PHI,Pitcher,SP,,,,23.3458,77.847,,,0.230748,,,11.8543,17.3246,198.811,3.57443,1.19356,180.975,0.0,0.0,3.580660062277985,852.1,3.50965,,,,1.4155340835075745,1.6582045145024307,1.2942477105190175,1.2484924485501583,,,Tier 1 - Elite
29,Joe Ryan,MIN,Pitcher,SP,,,,26.5899,82.7943,,,0.233546,,,11.2976,16.6926,199.467,3.82952,1.1391,182.4,0.0,0.0,3.511816972299864,827.2999999999998,3.43254,,,,1.2464837853314072,1.6771127318695775,0.7452607205069713,1.8492742479739084,,,Tier 1 - Elite
30,George Springer,TOR,Batter,Batter,5.1,1.458444411131961,Brenden Freedman,25.7437,86.5848,72.7428,13.1382,0.260826,0.342038,0.455991,,,117.238,,,,,,3.4968765083351183,784.4,2.56954,0.9925449641470756,1.4510381602794467,0.6664802032192494,,,,,,,Tier 1 - Elite
31,Hunter Greene,CIN,Pitcher,SP,,,,28.1852,85.7245,,,0.224551,,,11.0564,16.5559,220.007,3.93789,1.18682,183.816,0.0,0.0,3.3688871094291155,836.0000000000002,3.57287,,,,1.2099186338113415,2.2691474646762786,0.5120343293994981,1.3228455394079632,,,Tier 1 - Elite
32,Zach Neto,LAA,Batter,Batter,,,,26.0401,83.0504,69.3989,26.8771,0.252422,0.319721,0.4564,,,142.879,,,,,,3.3409419633516535,752.7,3.71573,1.0348971427489098,1.2112498872998354,0.42586729681444974,,,,,,,Tier 1 - Elite
33,Hunter Brown,HOU,Pitcher,SP,,,,20.8733,81.0952,,,0.235102,,,12.0274,17.6519,199.991,3.63146,1.22679,184.176,0.0,0.0,3.3232300616080153,870.3000000000002,3.58674,,,,1.5030818091295042,1.6922162469616278,1.171511703461167,0.8819118537126392,,,Tier 1 - Elite
34,Manny Machado,SDP,Batter,Batter,8.5,2.571554727181813,Tyler Hart,26.2769,75.1958,85.2932,8.7805,0.268068,0.329114,0.465295,,,115.953,,,,,,3.3053933910693853,757.4,3.33102,1.06873316128101,0.6783614284537374,1.5695539256818805,,,,,,,Tier 2 - Strong
35,Nick Pivetta,SDP,Pitcher,SP,,,,29.436,89.6149,,,0.232487,,,11.5509,17.127,209.948,3.95757,1.20092,191.005,0.0,0.0,3.1343347229692857,839.7,2.86745,,,,1.3626791168626207,1.9792118572126658,0.469680399557336,1.1672997558627027,,,Tier 1 - Elite
36,Sonny Gray,BOS,Pitcher,SP,4.2,1.3619659937013888,Steve Cornish,21.2188,80.6759,,,0.243104,,,11.5177,17.0218,189.835,3.68218,1.20609,181.357,0.0,0.0,3.0837774360178707,854.5000000000001,3.87305,,,,1.3345397317864611,1.3994847597958604,1.0623556403720191,1.110266301896106,,,Tier 1 - Elite
37,Zack Wheeler,PHI,Pitcher,SP,,,,14.5086,48.7226,,,0.222277,,,8.6982,13.0375,145.14,3.20176,1.08713,125.797,0.0,0.0,3.078346894283237,653.9000000000001,3.01561,,,,0.26880064472427523,0.11121833414856137,2.096282214293329,2.422587323920518,,,Tier 1 - Elite
38,Framber Valdez,,Pitcher,SP,,,,16.098,81.3849,,,0.248888,,,12.078,19.1945,178.531,3.47402,1.27679,190.384,0.0,0.0,3.0301541392148437,886.2,3.71929,,,,1.915703628696838,1.0736638922375863,1.5103431421984623,0.3303310609989492,,,Tier 1 - Elite
39,Blake Snell,LAD,Pitcher,SP,10.5,3.5132644525259304,Nolan Chidester,18.9074,69.7441,,,0.217713,,,11.346,15.9606,200.444,3.52217,1.25161,163.779,0.0,0.0,2.9886733953234916,806.1000000000001,3.28673,,,,1.0506850222539483,1.7052732934057087,1.4067180547035387,0.6081071482095655,,,Tier 2 - Strong
40,Nathan Eovaldi,TEX,Pitcher,SP,,,,20.2668,76.057,,,0.242858,,,11.1122,16.8483,171.35,3.59563,1.18917,174.547,0.0,0.0,2.9393750096312723,814.2,3.3949,,,,1.288131145182719,0.866682323771913,1.2486225421931116,1.296921242150419,,,Tier 2 - Strong
41,Rafael Devers,SFG,Batter,Batter,18.4,6.261736762637614,Nick & Alex Gianaris,28.6226,81.9221,83.3638,2.1866,0.248672,0.346763,0.464339,,,154.66,,,,,,2.938481877709822,814.4,2.79592,1.4039069310054468,1.1347013618350057,1.4307224589462064,,,,,,,Tier 2 - Strong
42,Yoshinobu Yamamoto,LAD,Pitcher,SP,23.8,8.353755974238425,Brenden Freedman,17.3478,67.5338,,,0.236291,,,11.3405,15.8287,169.568,3.43223,1.20337,161.291,0.0,0.0,2.849017863748377,783.3000000000002,3.60515,,,,1.0154037970491439,0.8153188430581092,1.6002806791956135,1.1402722970197314,,,Tier 2 - Strong
43,James Wood,WSN,Batter,Batter,1.5,0.5577826650334959,Nick & Alex Gianaris,22.7992,73.72,60.9323,14.3015,0.259353,0.352468,0.474536,,,146.208,,,,,,2.6892194649145686,704.0,2.46271,0.5718095056683247,0.578237069789378,-0.1833534434489772,,,,,,,Tier 2 - Strong
44,Jazz Chisholm Jr.,NYY,Batter,Batter,,,,26.5708,72.5299,75.8234,27.26,0.241563,0.318463,0.44833,,,141.564,,,,,,2.6277804033501946,685.3,3.12555,1.110728118403409,0.4974957774418693,0.8881471548238504,,,,,,,Tier 2 - Strong
45,Pablo López,MIN,Pitcher,SP,12.6,4.799178990590346,Steve Cornish,22.9737,83.2751,,,0.245654,,,11.2099,16.6539,181.049,3.81451,1.20775,181.85,0.0,0.0,2.6254490663308383,811.1000000000001,3.24153,,,,1.2361321294146075,1.1462414704852628,0.7775642005339458,1.0919538195780116,Partial,Steve Cornish,Tier 2 - Strong
46,Josh Naylor,SEA,Batter,Batter,,,,22.5343,70.5555,79.7969,14.9529,0.265278,0.330131,0.449435,,,89.3087,,,,,,2.61828463415063,718.2,2.4335,0.5339583177073738,0.36354433839395617,1.1740634153577978,,,,,,,Tier 2 - Strong
47,Spencer Schwellenbach,ATL,Pitcher,SP,7.3,2.8412761401778184,Tyler Hart,20.0931,73.5008,,,0.247013,,,11.1162,16.0494,162.638,3.64809,1.18473,166.671,0.0,0.0,2.5692680471188334,770.4,2.98116,,,,1.0744376590862956,0.6155719736155365,1.1357217718923085,1.3459016165433948,Partial,Tyler Hart,Tier 2 - Strong
48,William Contreras,MIL,Batter,Batter,,,,19.9153,74.3872,74.4436,6.1572,0.269559,0.358829,0.444685,,,110.376,,,,,,2.509580108482096,758.9,4.24866,0.15973309585108267,0.623502669532474,0.788862580447421,,,,,,,Tier 2 - Strong
49,Cody Bellinger,,Batter,Batter,7.8,3.1090192687656444,Nick & Alex Gianaris,22.1517,74.3627,80.6855,9.9782,0.267368,0.330754,0.451305,,,89.5982,,,,,,2.5088297388059573,741.0,2.7439,0.47928914249461446,0.6218404884867517,1.238003314467014,,,,,,,Tier 2 - Strong
50,Freddy Peralta,MIL,Pitcher,SP,7.5,3.0334585326340044,Tyler Hart,24.8697,82.7815,,,0.226944,,,10.8695,15.6516,199.68,3.90843,1.23362,177.641,0.0,0.0,2.47242542441733,787.3000000000001,2.94727,,,,0.9680322657089555,1.6832521378134833,0.5754360963278559,0.8065659174279505,,,Tier 2 - Strong
51,MacKenzie Gore,WSN,Pitcher,SP,2.0,0.8157120671458263,Brenden Freedman,22.0977,79.1871,,,0.229737,,,10.5379,15.8066,192.89,3.76138,1.25099,175.533,0.0,0.0,2.4518455476550605,798.0000000000002,2.92779,,,,1.0094923863059582,1.4875405586626793,0.8919068983242942,0.6149467500392135,,,Tier 2 - Strong
52,Riley Greene,DET,Batter,Batter,17.0,7.302734676676034,Tyler Hart,25.5058,73.2183,82.284,3.2905,0.260792,0.331343,0.468286,,,156.94,,,,,,2.3278950629680883,748.6,2.8436,0.9585517681640242,0.5441996726204469,1.35302461620692,,,,,Partial,Tyler Hart,Tier 2 - Strong
53,Vinnie Pasquantino,KCR,Batter,Batter,5.7,2.4658196056973916,JD Barnett,24.3882,71.9436,80.7921,1.3744,0.265695,0.335241,0.472552,,,84.2061,,,,,,2.311604622994271,726.8,1.93707,0.798859477997323,0.45771876735587325,1.2456737997754117,,,,,Partial,JD Barnett,Tier 2 - Strong
54,Alex Bregman,,Batter,Batter,7.9,3.4544636075353874,Ethan Gobetz,22.6218,81.8935,78.9974,2.6924,0.261674,0.346405,0.44134,,,87.753,,,,,,2.2868962876804813,790.9,3.73466,0.5464610694876048,1.1327610198795914,1.1165347755448143,,,,,Partial,Ethan Gobetz,Tier 2 - Strong
55,Chase Burns,CIN,Pitcher,SP,1.0,0.44157841406663334,Brenden Freedman,18.2177,59.8423,,,0.231568,,,8.4803,10.7165,152.31,3.72758,1.19602,133.954,0.0,0.6661,2.264603450134005,633.3999999999999,2.68708,,,,-0.3520312256347173,0.31788284409131,0.9646489119759742,1.2213546735486434,,,Tier 2 - Strong
56,Austin Riley,ATL,Batter,Batter,21.7,9.595175358770957,Steve Cornish,26.2878,77.1028,84.6615,2.6802,0.260124,0.323066,0.462227,,,156.89,,,,,,2.2615532482336564,742.6,2.98552,1.0702906469313473,0.8077401735228062,1.5240994644312718,,,,,,,Tier 2 - Strong
57,Luis Castillo,SEA,Pitcher,SP,18.7,8.328993699913985,Nick & Alex Gianaris,24.9223,84.0676,,,0.241479,,,10.9149,16.4458,171.802,3.85787,1.21933,181.473,0.0,0.0,2.245169185347459,759.9000000000001,2.36351,,,,1.1804685739550178,0.8797105467139105,0.6842478185239789,0.9642077079855219,,,Tier 2 - Strong
58,Michael King,SDP,Pitcher,SP,,,,22.986,80.0817,,,0.234609,,,11.0715,15.7364,182.292,3.7932,1.24476,175.764,0.0,0.0,2.2250436396118647,768.7,3.06207,,,,0.9907149639452512,1.1820690835757557,0.8234261032238065,0.6836737168113387,,,Tier 2 - Strong
59,Spencer Strider,ATL,Pitcher,SP,12.5,5.698577274188957,Steve Cornish,21.1423,73.3784,,,0.22898,,,10.6405,14.5594,187.188,3.82731,1.22644,160.846,0.0,0.0,2.193529963455492,748.1000000000001,2.66349,,,,0.6758855320570417,1.323188949779339,0.7500169290918886,0.8857729192616358,Partial,Steve Cornish,Tier 2 - Strong
60,Maikel Garcia,KCR,Batter,Batter,,,,12.6126,80.6551,61.1925,26.0936,0.275086,0.338327,0.41386,,,90.63,,,,,,2.192749980382725,737.0,3.55017,-0.8837394232974218,1.048742856327659,-0.1646305515423622,,,,,,,Tier 2 - Strong
61,Tyler Glasnow,LAD,Pitcher,SP,14.0,6.385843624520458,Nolan Chidester,17.3567,64.0956,,,0.225809,,,10.2827,13.782,171.981,3.59439,1.21345,147.787,0.0,0.0,2.192349331299406,731.1000000000001,3.06784,,,,0.467942965914396,0.8848699535869583,1.2512911841140602,1.029073609208653,,,Tier 2 - Strong
62,Brandon Woodruff,MIL,Pitcher,SP,,,,23.2226,73.059,,,0.234276,,,9.8741,14.3198,168.101,3.84306,1.17027,159.667,0.0,0.0,2.1735843732421967,715.3,2.95654,,,,0.6117962101535458,0.7730347655007851,0.7161208724346713,1.5054187817961953,,,Tier 2 - Strong
63,Ranger Suárez,,Pitcher,SP,5.0,2.3743505264646534,JD Barnett,17.7197,73.1112,,,0.247707,,,10.9059,16.0555,154.273,3.54939,1.24229,168.759,0.0,0.0,2.105839025986138,754.0,3.26464,,,,1.0760693154452743,0.37446337868233004,1.3481370602775409,0.7109218079713971,,,Tier 2 - Strong
64,Aaron Nola,PHI,Pitcher,SP,11.1,5.574670548887677,JD Barnett,26.5596,86.4155,,,0.247656,,,11.0276,15.8772,175.84,3.9876,1.22368,180.677,0.0,0.0,1.9911490558334073,748.3000000000002,2.95229,,,,1.0283768025262707,0.9960998481293665,0.4050519181975738,0.9162201790194301,,,Tier 2 - Strong
65,Shane McClanahan,TBR,Pitcher,SP,5.5,2.8114006545952352,JD Barnett,17.835,61.298,,,0.23727,,,8.9739,13.5896,153.623,3.56463,1.19719,142.175,0.0,0.0,1.956320238814147,664.0,2.88847,,,,0.4164789194443099,0.3557281023276874,1.3153385902168415,1.2084476829991442,Partial,JD Barnett,Tier 2 - Strong
66,Seiya Suzuki,CHC,Batter,Batter,4.0,2.0723038617805867,Jake Levine & Johnny Drago,23.8906,73.541,79.535,6.9466,0.253644,0.334826,0.453714,,,147.671,,,,,,1.9302188611293123,730.0,2.23217,0.7277581147305453,0.5660929715369588,1.155218198638573,,,,,,,Tier 2 - Strong
67,Kyle Bradish,BAL,Pitcher,SP,,,,18.8694,70.6442,,,0.240165,,,10.5462,14.4754,166.64,3.70097,1.23385,157.977,0.0,0.0,1.89632527443985,721.9,3.12603,,,,0.6534168215399564,0.7309236289559653,1.0219171067473125,0.8040286457814679,,,Tier 2 - Strong
68,Trey Yesavage,TOR,Pitcher,SP,,,Brenden Freedman,18.0187,67.2508,,,0.229684,,,9.3622,11.9141,161.615,3.81207,1.2773,146.759,0.0,0.6491,1.8933366385583894,666.5999999999999,2.11007,,,,-0.03169160997684167,0.5860855309835378,0.7828153991525879,0.32470493691326946,,,Tier 2 - Strong
69,Brandon Nimmo,TEX,Batter,Batter,6.0,3.2854870920516555,Jake Zuckman & Andrew Meyers,22.5643,84.5793,71.2424,9.6937,0.255591,0.336227,0.427994,,,141.694,,,,,,1.8262132316743451,762.2,2.61449,0.5382449754605956,1.3149767689653313,0.558517762724689,,,,,,,Tier 2 - Strong
70,Matthew Boyd,CHC,Pitcher,SP,,,,25.5745,86.2911,,,0.244654,,,11.1294,16.5066,164.94,3.93263,1.24619,183.403,0.0,0.0,1.7980607832204125,725.6000000000001,2.35501,,,,1.1967316406150037,0.6819236754130547,0.5233545362577179,0.6678985061397292,,,Tier 2 - Strong
71,Jose Altuve,HOU,Batter,Batter,11.0,6.204007282159591,Zack Semler,20.2339,74.7848,72.4479,11.7606,0.266458,0.332214,0.43304,,,100.366,,,,,,1.7730475642141643,703.2,2.58627,0.20525740119030153,0.6504774933601938,0.6452604460199387,,,,,Partial,Zack Semler,Tier 2 - Strong
