Rank,Name,Team,Player_Type,Position,Salary_M,Dollar_Per_Score,Rostered_By,HR,R,RBI,SB,AVG,OBP,SLG,W,QS,SO,ERA,WHIP,IP,SV,HLD,Strategy_Score,FPTS,WAR,z_HR,z_R,z_RBI,z_QS,z_K,z_ERA,z_WHIP,Block_Type,Blocking_Franchise,Tier
1,Mason Miller,SDP,Pitcher,RP,,,,5.50733,19.1047,,,0.173427,,,4.0391,0.0,104.456,2.38419,1.0006,66.0,31.64,2.0092,11.343825506103158,603.0000000000001,1.51693,,,,-0.7013491910761157,0.423194929024021,3.805858626390695,3.5998101446167152,,,Tier 1 - Elite
2,Edwin Díaz,LAD,Pitcher,RP,5.3,0.5287118403060173,Ross & Jack Kantor,6.54133,24.0466,,,0.199058,,,3.8332,0.0,90.6336,3.01613,1.09093,66.0,35.543,2.9465,10.024364116628014,570.5000000000001,1.14534,,,,-0.7013491910761157,0.131115190095995,2.379001470092708,2.581984914967591,Partial,Ross & Jack Kantor,Tier 1 - Elite
3,Cade Smith,CLE,Pitcher,RP,6.0,0.6549655998553375,Brenden Freedman,6.76667,25.24,,,0.21121,,,3.8473,0.0,87.9573,2.97469,1.10058,70.0,29.961,3.3265,9.160786461648096,551.9,1.05573,,,,-0.7013491910761157,0.07456256498797648,2.4725688349643553,2.4732501262361173,,,Tier 1 - Elite
4,Jhoan Duran,PHI,Pitcher,RP,2.4,0.26742307396610054,Steve Cornish,5.17222,24.2091,,,0.21782,,,4.0307,0.0,83.8638,2.78432,1.13301,70.0,28.586,3.1503,8.974543461811496,557.9,1.23667,,,,-0.7013491910761157,-0.011936770243378124,2.90240520684214,2.1078336289758353,,,Tier 1 - Elite
5,Andrés Muñoz,SEA,Pitcher,RP,,,,5.39022,22.9352,,,0.206805,,,3.5619,0.0,80.89,2.91407,1.16695,64.0,28.127,3.357,8.340546800573804,511.7000000000001,0.761669,,,,-0.7013491910761157,-0.07477583781660439,2.6094427166853786,1.725402672546176,,,Tier 1 - Elite
6,Josh Hader,HOU,Pitcher,RP,,,,8.39667,25.8384,,,0.200228,,,3.6467,0.0,90.1743,3.29297,1.12291,66.0,31.524,2.0198,8.299684995875033,526.6000000000001,0.930921,,,,-0.7013491910761157,0.12140976816567595,1.7539245084356923,2.22163895189686,,,Tier 1 - Elite
7,Devin Williams,NYM,Pitcher,RP,,,,5.93778,24.3724,,,0.205945,,,3.5568,0.0,81.2321,3.13517,1.19395,64.0,32.388,3.1109,8.281462141857359,513.4,0.731468,,,,-0.7013491910761157,-0.06754695725409149,2.110221086059869,1.4211706211731383,,,Tier 1 - Elite
8,David Bednar,NYY,Pitcher,RP,,,,7.49667,25.7809,,,0.214441,,,3.5726,0.0,78.6978,3.2999,1.14734,65.0,32.897,1.559,8.230974006393634,518.7,0.791174,,,,-0.7013491910761157,-0.12109899469804454,1.7382772632966836,1.9463652846730355,,,Tier 1 - Elite
9,Aroldis Chapman,BOS,Pitcher,RP,,,,5.81422,22.5264,,,0.199719,,,3.4813,0.0,86.546,2.99729,1.18098,62.0,31.041,1.9184,8.227886545394758,515.0,1.00099,,,,-0.7013491910761157,0.04474052716899265,2.421540301033389,1.567314684369743,,,Tier 1 - Elite
10,Ryan Walker,SFG,Pitcher,RP,,,,5.978,25.2665,,,0.231094,,,3.3006,0.0,67.9657,3.29554,1.18573,63.0,30.328,3.891,7.894259707530893,479.4000000000001,0.504363,,,,-0.7013491910761157,-0.3478779163143679,1.7481217061258436,1.5137923790355972,,,Tier 1 - Elite
11,Jeff Hoffman,TOR,Pitcher,RP,3.0,0.43652666435224646,JD Barnett,7.518,26.1206,,,0.218078,,,3.3835,0.0,76.1347,3.46359,1.17845,63.0,26.14,3.7746,6.872432419338329,452.6000000000001,0.747839,,,,-0.7013491910761157,-0.17525960203442786,1.3686816562542155,1.5958223543687708,,,Tier 1 - Elite
12,Griffin Jax,TBR,Pitcher,RP,4.4,0.6529556394094508,Ross & Jack Kantor,6.99778,25.4456,,,0.220756,,,3.6277,0.0,82.1759,3.12528,1.13151,67.0,11.918,9.7836,6.738589475970326,462.0999999999999,1.00983,,,,-0.7013491910761157,-0.047603614737577016,2.132551714403995,2.124735409607671,Partial,Ross & Jack Kantor,Tier 1 - Elite
13,Daniel Palencia,CHC,Pitcher,RP,,,,7.60822,29.1299,,,0.225155,,,3.472,0.0,74.8633,3.61582,1.25606,67.0,29.818,4.4788,6.523570734406151,475.2,0.477584,,,,-0.7013491910761157,-0.2021254270773359,1.0249615801342637,0.7213242244776109,,,Tier 1 - Elite
14,Abner Uribe,MIL,Pitcher,RP,,,,6.048,27.764,,,0.215506,,,3.9075,0.0,86.7973,3.14546,1.25165,72.0,23.838,4.3787,6.458219815660456,512.8000000000002,0.866934,,,,-0.7013491910761157,0.050050722098426974,2.0869872978231596,0.7710154595352071,,,Tier 1 - Elite
15,Pete Fairbanks,MIA,Pitcher,RP,,,,6.61333,26.6471,,,0.23155,,,3.1159,0.0,65.6255,3.56179,1.23223,62.0,26.502,4.1289,6.297105499053364,443.2999999999999,0.686663,,,,-0.7013491910761157,-0.39732844625412983,1.1469559026249754,0.9898371794487019,,,Tier 1 - Elite
16,Ryan Helsley,BAL,Pitcher,RP,,,,7.27467,26.6911,,,0.222601,,,3.4709,0.0,75.7117,3.46721,1.22175,64.0,24.899,3.9374,6.2506159367732765,459.1,0.658968,,,,-0.7013491910761157,-0.18419797232949642,1.3605080592263348,1.1079242867964587,,,Tier 1 - Elite
17,Raisel Iglesias,ATL,Pitcher,RP,,,,8.41133,29.194,,,0.236082,,,3.509,0.0,71.1986,3.70571,1.20044,66.0,25.746,4.5192,6.248840745109183,463.0000000000001,0.501072,,,,-0.7013491910761157,-0.2795638327991741,0.8219989732734447,1.3480422503060654,,,Tier 1 - Elite
18,Jose A. Ferrer,SEA,Pitcher,RP,,,,5.94222,26.8367,,,0.236361,,,3.7837,0.0,67.6667,3.10015,1.19829,70.0,3.204,16.1713,5.889678380768859,423.4,0.580661,,,,-0.7013491910761157,-0.35419605512813956,2.189292734655551,1.3722681358783613,,,Tier 1 - Elite
19,Jeremiah Estrada,SDP,Pitcher,RP,,,,7.92556,26.9421,,,0.203431,,,3.8215,0.0,92.3225,3.2112,1.15799,70.0,1.079,17.5073,5.858650389897127,449.8,1.02089,,,,-0.7013491910761157,0.1668031654892367,1.9385529694770673,1.826362642187004,,,Tier 1 - Elite
20,Ronald Acuña Jr.,ATL,Batter,Batter,44.0,7.756814651528102,Steve Cornish,30.7731,110.17,84.9044,24.162,0.285494,0.38803,0.50309,,,135.275,,,,,,5.6724315297816155,1045.7,5.2691,1.7111888476155857,3.0511554010780877,1.541577521480144,,,,,Partial,Steve Cornish,Tier 1 - Elite
21,Robert Garcia,TEX,Pitcher,RP,,,,7.28889,26.941,,,0.229947,,,3.3603,0.0,69.8692,3.48428,1.23725,64.0,19.522,6.3642,5.630943189292864,430.9,0.532928,,,,-0.7013491910761157,-0.3076552499865594,1.3219657108103355,0.933272553600826,,,Tier 1 - Elite
22,Hunter Harvey,CHC,Pitcher,RP,,,,5.47733,21.0324,,,0.225415,,,2.7848,0.0,58.2646,3.34781,1.15579,52.0,4.708,12.9543,5.519210898631727,347.9,0.734078,,,,-0.7013491910761157,-0.5528708810176518,1.6301012871624994,1.851151920447029,,,Tier 1 - Elite
23,Matt Brash,SEA,Pitcher,RP,,,,5.6,23.4814,,,0.214186,,,3.4476,0.0,75.2737,3.04161,1.18777,63.0,3.204,12.3151,5.377487871057775,391.4000000000001,0.652363,,,,-0.7013491910761157,-0.19345330611020542,2.3214701849351416,1.4908059573763008,,,Tier 1 - Elite
24,Garrett Cleavinger,TBR,Pitcher,RP,,,,7.69267,27.2257,,,0.219053,,,3.4431,0.0,81.5411,3.42626,1.20396,66.0,7.584,13.4299,5.3395231217218235,418.60000000000014,0.692845,,,,-0.7013491910761157,-0.06101750944989256,1.4529690532295672,1.3083794050900255,,,Tier 1 - Elite
25,Bryan Abreu,HOU,Pitcher,RP,4.0,0.7562424086839998,Tyler Hart,7.004,26.5406,,,0.207737,,,3.7621,0.0,88.2844,3.23971,1.17435,68.0,3.224,13.5716,5.28930929298283,435.9,0.950755,,,,-0.7013491910761157,0.08147448206484864,1.8741802481331804,1.642020554762454,,,Tier 1 - Elite
