Rank,Name,Team,Player_Type,Position,Salary_M,Dollar_Per_Score,Rostered_By,HR,R,RBI,SB,AVG,OBP,SLG,W,QS,SO,ERA,WHIP,IP,SV,HLD,Strategy_Score,FPTS,WAR,z_HR,z_R,z_RBI,z_QS,z_K,z_ERA,z_WHIP,Block_Type,Blocking_Franchise,Tier
1,Garrett Crochet,BOS,Pitcher,SP,,,,19.5212,70.6296,,,0.219268,,,13.5715,20.7616,238.814,3.01049,1.07399,192.855,0.0,0.0,9.143214569533024,1084.0,5.59019,,,,2.3348788221649888,2.811231068371294,2.5079202305997472,2.567542756245675,,,Tier 1 - Elite
2,Chris Sale,ATL,Pitcher,SP,,,,18.0894,64.9745,,,0.220891,,,12.0899,17.736,205.46,3.19138,1.09201,168.535,0.0,0.0,6.998200940966493,916.2,4.15073,,,,1.5255772681114907,1.8498519798593809,2.118621329728372,2.368753038551662,,,Tier 1 - Elite
3,Cristopher Sánchez,PHI,Pitcher,SP,2.0,0.291822324086675,JD Barnett,17.6489,77.3882,,,0.242515,,,13.468,21.089,192.403,3.15767,1.17823,198.055,0.0,0.0,6.853485271421436,981.0,4.68906,,,,2.4224532962518186,1.4735035131477396,2.1911696516277255,1.4176071195961737,Partial,JD Barnett,Tier 1 - Elite
4,Jacob deGrom,TEX,Pitcher,SP,,,,24.6831,76.8127,,,0.225878,,,12.0789,18.2323,213.722,3.476,1.09234,184.508,0.0,0.0,6.8523354976178865,929.5,4.30954,,,,1.6583298994166036,2.0879917540779283,1.5060819236472691,2.3651126053197498,,,Tier 1 - Elite
5,Pete Alonso,BAL,Batter,Batter,,,,35.1294,87.6208,101.037,2.6104,0.253958,0.336995,0.493137,,,147.343,,,,,,6.69091415317777,870.7,2.69463,2.333654419960969,1.5213246730699845,2.7024112108446783,,,,,,,Tier 1 - Elite
6,Cole Ragans,KCR,Pitcher,SP,11.0,1.7272449874375224,JD Barnett,17.8325,67.1037,,,0.216084,,,11.8458,17.6211,210.53,3.22649,1.16793,172.018,0.0,0.0,6.368523330508661,908.0,4.24898,,,,1.4948432819399053,1.9959871354255916,2.0430600250150435,1.531232762895196,Partial,JD Barnett,Tier 1 - Elite
7,Bryan Woo,SEA,Pitcher,SP,,,,26.1644,84.1093,,,0.234757,,,12.1494,19.0891,195.866,3.58908,1.12731,195.095,0.0,0.0,6.115000310944498,901.6,3.28973,,,,1.8875107466908754,1.5733193008648585,1.262718997501351,1.979336998895796,,,Tier 1 - Elite
8,Matt Olson,ATL,Batter,Batter,24.0,4.2197673156890625,Tyler Hart,30.8217,93.5477,91.0061,1.1675,0.25599,0.34928,0.477671,,,157.32,,,,,,5.68751739243256,883.1,3.20447,1.7181332331758055,1.92343001347369,1.9806300562479795,,,,,Partial,Tyler Hart,Tier 1 - Elite
9,Logan Gilbert,SEA,Pitcher,SP,13.8,2.473668297143924,Ross & Jack Kantor,20.9773,67.9785,,,0.227512,,,11.0144,16.1895,182.023,3.39244,1.09786,166.486,0.0,0.0,5.578759292801449,824.7000000000002,3.16617,,,,1.1119122584130061,1.174315561515142,1.6859139550299438,2.304218085804159,Partial,Ross & Jack Kantor,Tier 1 - Elite
10,Ronald Acuña Jr.,ATL,Batter,Batter,44.0,7.979108239623294,Steve Cornish,30.7731,110.17,84.9044,24.162,0.285494,0.38803,0.50309,,,135.275,,,,,,5.514400692235416,1045.7,5.2691,1.7111888476155857,3.0511554010780877,1.541577521480144,,,,,Partial,Steve Cornish,Tier 1 - Elite
