Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Christian Bethancourt,CHC,AAA,34,0.2,0.0,26.99986401268786,0.0,0.0,0.0,0.5,-0.5,0.0,2.999984890298651,0.0,1.0,0.0,12.552265805234331,-12.552265805234331,18.166465956206174,10028
Caleb Thielbar,CHC,A+,39,1.0,18.0,9.0,2.0,0.0,0.4,0.2,0.2,0.25,2.0,0.5,1.0,0.0,2.9470755577087404,-2.9470755577087404,6.488043767213822,10078
Zack Wheeler,PHI,"AA,AAA",36,20.0,10.35,2.25,4.6,1.35,0.2804878,0.06097561,0.2195122,0.25675676,1.2,0.33333333,0.61403509,5.85,4.407231698064879,1.4427683019351205,3.6744783139515675,10310
Erasmo Ramírez,COL,AAA,36,31.0,5.516129032258065,4.645161290322581,1.1875,2.3225806451612905,0.11801242,0.09937888,0.01863354,0.35211268,2.129032258064516,0.36521739,0.43252595,11.903225806451612,7.961505573026596,3.9417202334250163,7.255113766462572,10314
Casey Lawrence,SEA,AAA,38,85.0,5.4,1.3764705882352941,3.92307692,1.1647058823529413,0.14697406,0.03746398,0.10951009,0.27927928,1.2470588235294118,0.30258303,0.76419214,3.8117647058823527,4.970234225778019,-1.1584695198956663,5.158036156612284,11121
Merrill Kelly,ARI,AAA,37,5.0,3.6,3.6,1.0,0.0,0.1,0.1,0.0,0.11764706,0.8,0.13333333,1.0,0.0,4.993763637542725,-4.993763637542725,6.74061159491539,11156
Vince Velasquez,CHC,AAA,34,33.2,10.693067691452828,6.683167307158017,1.6,1.3366334614316036,0.25974026,0.16233766,0.0974026,0.22047244,1.5742571879083331,0.2804878,0.64583333,6.148513922585376,5.5127068777713975,0.635807044813979,5.749884155493742,11189
Tommy Kahnle,BOS,AAA,36,19.1,9.775863676377606,5.120690497150174,1.90909091,0.0,0.25301205,0.13253012,0.12048193,0.1971831,1.2931036608965085,0.28,0.84615385,1.3965519537682294,3.241966255723217,-1.8454143019549876,4.403530948938142,11384
Aaron Sanchez,KCR,AAA,33,42.0,8.571428571428571,5.571428571428571,1.53846154,2.357142857142857,0.19230769,0.125,0.06730769,0.32022472,1.9761904761904763,0.36220472,0.5726257,9.428571428571429,7.195168277195522,2.2334031513759065,5.884602690594537,11490
Yolmer Sánchez,LAA,AAA,34,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2857161687372498,0.3,1.0,0.0,3.993763637542725,-3.993763637542725,4.7424138585826165,11602
