Player
Fernando Tatis Jr
Spencer Schwellenbach
Matt Olson
Riley Greene
Trea Turner
Jurickson Profar
Logan Gilbert
Griffin Jax
Eury Perez
Cristopher Sanchez
Shane McClanahan
Ryan Pepiot
Vinnie Pasquantino
Francisco Lindor
Hunter Goodman
Tanner Bibee
Spencer Arrighetti
Lawrence Butler
Francisco Alvarez
Carlos Correa
Alex Bregman
Cole Wilcox
Max Muncy
Christian Yelich
Jett Williams
Blake Treinen
Jeremy Pena
Ronny Mauricio
Luis Arraez
Carlos Rodon
Jose Altuve
Steven Kwan
Freddie Freeman
Ronald Acuna Jr
Spencer Strider
Pablo Lopez
Nico Hoerner
