Ranking,Player,Team,Position,Age
1,Sebastian Walcott,TEX,SS,19
2,Travis Bazzana,CLE,2B,22
3,JJ Wetherholt,STL,SS,22
4,Max Clark,DET,OF,20
5,Walker Jenkins,MIN,OF,20
6,Jesus Made,MIL,SS,18
7,Leodalis De Vries,SD,SS,18
8,Jaison Chourio,CLE,OF,20
9,Kevin McGonigle,DET,"2B,SS",21
10,Samuel Basallo,BAL,"C,1B",21
11,Bryce Eldridge,SF,1B,20
12,Zyhir Hope,LAD,OF,20
13,Josue De Paula,LAD,OF,20
14,Konnor Griffin,PIT,SS,19
15,Chase Burns,CIN,P,22
16,Travis Sykora,WSH,P,21
17,Thomas White,MIA,P,20
18,Felnin Celesten,SEA,SS,19
19,Angel Genao,CLE,SS,21
20,Cam Smith,HOU,3B,22
21,Braden Montgomery,CHW,OF,22
22,Arjun Nimmala,TOR,SS,19
23,Yairo Padilla,STL,SS,18
24,Griffin Burkholder,PHI,OF,19
25,Jamie Arnold,NCAA,P,21
