rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,cle,23,,Travis Bazzana,683953,15,2,3,1,0,1,.368,.835,.467,4,4,4,1,0,5,7,.200,2B,MLB
1,hou,23,,Brice Matthews,694728,16,3,3,1,1,0,.278,.653,.375,2,2,8,0,0,6,6,.188,SS,MLB
1,nyy,20,,George Lombard Jr.,806146,26,4,6,0,0,2,.286,.748,.462,4,1,8,1,1,11,12,.231,SS,MLB
1,la,20,,Josue De Paula,800543,9,4,4,1,0,0,.615,1.171,.556,3,3,2,0,0,5,5,.444,RF,MLB
1,pit,19,,Konnor Griffin,804606,11,3,2,0,0,1,.250,.705,.455,2,0,3,1,0,3,5,.182,SS,MLB
1,ari,23,,Ryan Waldschmidt,814439,16,4,2,1,0,1,.318,.693,.375,3,3,4,0,0,12,6,.125,CF,MLB
1,chc,22,,Moises Ballesteros,694208,20,7,7,0,0,2,.409,1.059,.650,3,2,3,0,0,11,13,.350,C,MLB
1,det,21,,Kevin McGonigle,805808,10,3,4,1,0,1,.538,1.338,.800,3,3,3,0,0,3,8,.400,SS,MLB
1,tex,19,,Sebastian Walcott,806964,9,3,4,3,0,1,.500,1.611,1.111,3,1,1,0,0,2,10,.444,SS,MLB
1,cws,22,,Braden Montgomery,695731,6,2,2,0,0,0,.556,.889,.333,1,3,3,0,0,1,2,.333,OF,MLB
1,oak,19,,Leo De Vries,815888,18,1,2,1,0,0,.238,.405,.167,0,3,6,0,0,6,3,.111,SS,MLB
1,tb,22,,Carson Williams,700246,32,1,9,2,1,0,.343,.749,.406,1,3,9,2,1,12,13,.281,SS,MLB
1,kc,22,,Carter Jensen,695600,20,2,2,1,0,1,.250,.550,.300,2,4,5,1,0,8,6,.100,C,MLB
1,sd,19,,Ethan Salas,806956,9,2,1,1,0,0,.429,.651,.222,1,5,2,0,0,11,2,.111,C,MLB
1,bal,21,,Samuel Basallo,694212,31,5,7,0,1,2,.286,.770,.484,8,2,11,0,0,18,15,.226,C,MLB
1,sea,20,,Colt Emerson,806068,17,3,2,1,0,1,.318,.671,.353,1,4,3,2,1,7,6,.118,SS,MLB
1,stl,23,,JJ Wetherholt,802139,20,6,2,0,0,1,.308,.558,.250,3,6,5,3,0,7,5,.100,SS,MLB
1,sf,21,,Bryce Eldridge,805811,11,2,2,0,0,1,.250,.705,.455,2,1,8,0,0,5,5,.182,1B,MLB
1,bos,20,,Franklin Arias,808265,3,0,2,1,0,0,.667,1.667,1.000,1,0,0,0,0,1,3,.667,SS,MLB
1,cin,22,,Sal Stewart,701398,24,2,7,2,0,1,.393,.893,.500,2,4,5,2,0,11,12,.292,3B,MLB
1,mil,18,,Jesús Made,815908,3,0,0,0,0,0,.250,.250,.000,0,1,0,0,1,1,0,.000,SS,MLB
2,cin,20,,Alfredo Duno,806957,3,0,0,0,0,0,.000,.000,.000,0,0,3,0,0,2,0,.000,C,MLB
2,la,21,,Zyhir Hope,814307,24,4,5,1,0,1,.269,.644,.375,3,2,9,2,0,9,9,.208,CF,MLB
2,mil,19,,Luis Peña,821270,2,1,0,0,0,0,.333,.333,.000,0,1,0,1,0,4,0,.000,SS,MLB
2,bal,24,,Dylan Beavers,687637,19,3,6,1,0,1,.381,.907,.526,3,2,4,0,0,4,10,.316,RF,MLB
