Rank,Player,Position,Team,Level,ETA,Age,Height,Weight,Bats,Throws,Ranking2
13,Eli Willits,SS,Washington Nationals,A,2028,18,"6' 1""",180,S,R,
18,Carter Jensen,C,Kansas City Royals,MLB,2026,22,"6' 0""",210,L,R,
24,Ethan Holliday,SS,Colorado Rockies,A,2029,18,"6' 4""",210,L,R,
29,Seth Hernandez,RHP,Pittsburgh Pirates,ROK,2028,19,"6' 4""",190,R,R,
34,Liam Doyle,LHP,St. Louis Cardinals,AA,2027,21,"6' 2""",220,R,L,
38,Alfredo Duno,C,Cincinnati Reds,A,2028,20,"6' 2""",210,R,R,
41,Jamie Arnold,LHP,Athletics,ROK,2027,21,"6' 1""",188,L,L,25
42,Owen Caissie,OF,Miami Marlins,MLB,2026,23,"6' 3""",190,L,R,
44,Josuar Gonzalez,SS,San Francisco Giants,ROK,2029,18,"6' 0""",167,S,R,
45,JoJo Parker,SS,Toronto Blue Jays,ROK,2029,19,"6' 2""",200,L,R,
47,Aiva Arquette,SS,Miami Marlins,A+,2028,22,"6' 5""",220,R,R,
52,Kaelen Culpepper,SS,Minnesota Twins,AA,2027,23,"6' 0""",185,R,R,
55,Moisés Ballesteros,C,Chicago Cubs,MLB,2026,22,"5' 8""",195,L,R,
56,Connelly Early,LHP,Boston Red Sox,MLB,2026,23,"6' 3""",195,L,L,
59,Ryan Waldschmidt,OF,Arizona Diamondbacks,AA,2026,23,"6' 2""",205,R,R,
60,Mike Sirota,OF,Los Angeles Dodgers,A+,2027,22,"6' 2""",188,R,R,
61,Caleb Bonemer,SS/3B,Chicago White Sox,A+,2028,20,"6' 1""",195,R,R,
62,Joe Mack,C,Miami Marlins,MLB,2026,23,"6' 0""",210,L,R,
66,Angel Genao,SS,Cleveland Guardians,MLB,2026,21,"5' 9""",150,S,R,19
72,Hagen Smith,LHP,Chicago White Sox,AA,2026,22,"6' 3""",235,L,L,
73,Billy Carlson,SS,Chicago White Sox,ROK,2029,19,"6' 1""",185,R,R,
74,Emmanuel Rodriguez,OF,Minnesota Twins,MLB,2026,22,"5' 11""",210,L,L,
76,Theo Gillen,OF,Tampa Bay Rays,A,2028,20,"6' 2""",195,L,R,
79,Carlos Lagrange,RHP,New York Yankees,AA,2026,22,"6' 7""",248,R,R,
81,Tyler Bremner,RHP,Los Angeles Angels,ROK,2026,21,"6' 2""",190,R,R,
82,Elmer Rodríguez,RHP,New York Yankees,MLB,2026,22,"6' 3""",160,L,R,
83,Steele Hall,SS,Cincinnati Reds,ROK,2029,18,"6' 0""",180,R,R,
84,Kyson Witherspoon,RHP,Boston Red Sox,ROK,2027,21,"6' 2""",206,R,R,
85,Brody Hopkins,RHP,Tampa Bay Rays,AA,2026,24,"6' 4""",200,R,R,
87,Joshua Baez,OF,St. Louis Cardinals,MLB,2026,22,"6' 3""",220,R,R,
88,Kruz Schoolcraft,LHP,San Diego Padres,A,2029,18,"6' 8""",229,L,L,
89,Ralphy Velazquez,1B/OF,Cleveland Guardians,AA,2027,20,"6' 3""",240,L,R,
93,Nate George,OF,Baltimore Orioles,A+,2028,19,"6' 0""",200,R,R,
94,Dax Kilby,SS,New York Yankees,A,2028,19,"6' 2""",190,L,R,
95,Parker Messick,LHP,Cleveland Guardians,MLB,2026,25,"6' 0""",225,L,L,
96,Hunter Barco,LHP,Pittsburgh Pirates,MLB,2026,25,"6' 4""",235,L,L,
97,A.J. Ewing,OF/2B,New York Mets,AA,2027,21,"5' 11""",160,L,R,
98,Leonardo Bernal,C,St. Louis Cardinals,MLB,2027,21,"6' 0""",245,S,R,
99,Cooper Ingle,C,Cleveland Guardians,AAA,2026,23,"5' 8""",190,L,R,
