"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","Score","%D","ADP","Ros","+/-","IP","QS","SV","HLD","BB/9","K","ERA","H/IP","H/AB","R","RBI","HR","SB","AVG","OBP","SLG","GP"
"*0403o*","Andres Munoz","SEA","RP","","FA","27","100,000","A","75.3","100","91.2","97%","0%","58","0","37","0","4.03","78","3.10","0.67","0/0","0","0","0","0","0","0","0","62"
"*05ucd*","Mason Miller","SD","RP","","FA","27","100,000","A","84.07","100","94.7","98%","0%","61","0","39","2","3.39","96","3.10","0.59","0/0","0","0","0","0","0","0","0","58"
"*02n96*","Josh Hader","HOU","RP","","FA","31","100,000","A","81.45","100","132.8","98%","0%","58","0","37","0","3.10","87","3.26","0.67","0/0","0","0","0","0","0","0","0","58"
"*01gya*","Aroldis Chapman","BOS","RP","","FA","37","100,000","A","79.25","100","144.8","95%","0%","58","0","35","2","3.72","86","2.95","0.66","0/0","0","0","0","0","0","0","0","65"
"*04aqc*","David Bednar","NYY","RP","","FA","31","100,000","A","81.22","100","152.8","95%","0%","61","0","37","3","2.95","80","3.39","0.77","0/0","0","0","0","0","0","0","0","66"
"*03mnq*","Carlos Estevez","KC","RP","","FA","33","100,000","A","72.51","100","169.6","94%","0%","63","0","39","0","2.86","56","3.57","0.87","0/0","0","0","0","0","0","0","0","64"
"*0311c*","Devin Williams","NYM","RP","","FA","31","100,000","A","79.35","100","172.8","94%","0%","65","0","28","7","4.02","96","3.05","0.66","0/0","0","0","0","0","0","0","0","68"
"*03aqv*","Raisel Iglesias","ATL","RP","","FA","36","100,000","A","81.64","100","196.2","92%","0%","70","0","31","2","1.93","79","3.34","0.83","0/0","0","0","0","0","0","0","0","68"
"*03dau*","Trevor Megill","MIL","RP","","FA","32","100,000","A","71.23","100","213.3","93%","0%","47","0","35","0","3.26","58","3.45","0.83","0/0","0","0","0","0","0","0","0","51"
"*03ql5*","Ryan Helsley","BAL","RP","","FA","31","100,000","A","65.32","100","216.3","89%","0%","57","0","28","0","3.47","69","3.79","0.84","0/0","0","0","0","0","0","0","0","56"
"*03qo0*","Pete Fairbanks","MIA","RP","","FA","32","100,000","A","70.92","99","243.5","91%","0%","58","0","31","0","2.95","62","3.57","0.84","0/0","0","0","0","0","0","0","0","58"
"*05u4l*","Daniel Palencia","CHC","RP","","FA","25","100,000","A","57.43","100","248.6","88%","0%","57","0","26","4","4.89","69","4.11","0.82","0/0","0","0","0","0","0","0","0","53"
"*031cy*","Emilio Pagan","CIN","RP","","FA","34","100,000","A","78.62","100","251.5","89%","0%","64","0","32","3","2.67","71","3.52","0.81","0/0","0","0","0","0","0","0","0","67"
"*05nso*","Abner Uribe","MIL","RP","","FA","25","100,000","A","81.64","100","261.1","90%","0%","70","0","9","28","4.11","77","3.09","0.73","0/0","0","0","0","0","0","0","0","73"
"*01svz*","Kenley Jansen","DET","RP","","FA","38","100,000","A","69.26","100","264.6","85%","0%","58","0","26","3","2.95","58","3.72","0.84","0/0","0","0","0","0","0","0","0","60"
"*05r01*","Robert Suarez","ATL","RP","","FA","34","100,000","A","83.61","100","288.1","94%","0%","66","0","6","31","2.32","63","3.41","0.85","0/0","0","0","0","0","0","0","0","67"
"*05uc4*","Troy Melton","DET","RP","","FA","25","100,000","A","32.2","99","292.7","83%","0%","34","3","0","0","3.44","33","4.50","0.97","0/0","0","0","0","0","0","0","0","6"
"*05jpd*","Ian Seymour","TB","RP","","FA","27","100,000","A","76.51","99","303.1","84%","0%","141","17","0","0","2.87","145","3.57","0.87","0/0","0","0","0","0","0","0","0","28"
"*04eos*","Joey Cantillo","CLE","RP","","FA","26","100,000","A","63.53","99","312.3","80%","0%","131","14","0","0","3.92","143","3.92","0.87","0/0","0","0","0","0","0","0","0","25"
"*046yd*","Dennis Santana","PIT","RP","","FA","29","100,000","A","55.27","99","314.6","77%","0%","67","0","14","6","3.49","61","4.03","0.91","0/0","0","0","0","0","0","0","0","66"
"*066n3*","Ryan Walker","SF","RP","","FA","30","100,000","A","79.37","98","327.2","81%","0%","65","0","21","7","2.63","72","3.18","0.82","0/0","0","0","0","0","0","0","0","64"
"*04pmq*","Braxton Ashcraft","PIT","RP","","FA","26","100,000","A","58.32","98","327.6","79%","0%","91","13","0","0","3.07","84","3.76","0.96","0/0","0","0","0","0","0","0","0","22"
"*04em6*","Will Vest","DET","RP","","FA","30","100,000","A","78.24","91","342.3","79%","-1%","67","0","9","22","2.69","67","3.36","0.88","0/0","0","0","0","0","0","0","0","67"
"*0596g*","Reid Detmers","LAA","RP","","FA","26","100,000","A","51.33","95","376.8","67%","0%","123","11","0","0","3.51","146","4.61","0.94","0/0","0","0","0","0","0","0","0","24"
"*066er*","Grant Taylor","CHW","RP","","FA","23","100,000","A","80.6","90","377.2","78%","-1%","113","17","0","0","3.66","141","2.87","0.69","0/0","0","0","0","0","0","0","0","22"
"*031bl*","Kyle Finnegan","DET","RP","","FA","34","100,000","A","66.13","83","397","71%","0%","58","0","7","18","3.26","57","3.72","0.88","0/0","0","0","0","0","0","0","0","60"
"*04tji*","Edwin Uceta","TB","RP","","FA","28","100,000","A","69.51","88","397.9","71%","0%","72","0","17","12","3.63","90","4.00","0.83","0/0","0","0","0","0","0","0","0","63"
"*04ej3*","Riley OBrien","STL","RP","","FA","30","100,000","A","65.54","71","422.3","46%","0%","51","0","17","10","4.24","50","3.53","0.82","0/0","0","0","0","0","0","0","0","48"
"*0614c*","Jordan Leasure","CHW","RP","","FA","27","100,000","A","48.97","69","422.8","48%","-1%","71","0","16","6","4.56","80","4.69","0.87","0/0","0","0","0","0","0","0","0","72"
"*04tzu*","Ronny Henriquez","MIA","RP","","FA","25","100,000","A","77.77","56","428.2","58%","-1%","70","0","10","28","3.09","80","3.73","0.89","0/0","0","0","0","0","0","0","0","63"
"*04ehz*","Jeremiah Estrada","SD","RP","","FA","27","100,000","A","79.91","66","431","69%","0%","69","0","2","28","3.52","101","3.52","0.74","0/0","0","0","0","0","0","0","0","74"
"*04enz*","Robert Garcia","TEX","RP","","FA","29","100,000","A","74.48","37","441.4","42%","+1%","61","0","15","12","2.80","70","3.69","0.84","0/0","0","0","0","0","0","0","0","69"
"*04eqa*","Garrett Whitlock","BOS","RP","","FA","29","100,000","A","81.11","50","443.3","63%","0%","68","0","2","31","2.65","73","3.18","0.85","0/0","0","0","0","0","0","0","0","59"
"*04pxp*","Victor Vodnik","COL","RP","","FA","26","100,000","A","47.34","44","444.8","36%","0%","62","0","11","10","4.50","55","4.06","0.95","0/0","0","0","0","0","0","0","0","56"
"*03poq*","Tony Santillan","CIN","RP","","FA","28","100,000","A","65.92","43","445.7","51%","0%","74","0","6","32","4.26","75","4.01","0.88","0/0","0","0","0","0","0","0","0","75"
"*062ob*","Jose Ferrer","SEA","RP","","FA","25","100,000","A","74.37","51","445.8","49%","-1%","76","0","2","16","2.25","72","3.20","0.86","0/0","0","0","0","0","0","0","0","72"
"*043ia*","Adrian Morejon","SD","RP","","FA","26","100,000","A","77.9","48","446.5","62%","-1%","66","0","2","22","2.59","64","3.14","0.83","0/0","0","0","0","0","0","0","0","68"
"*04ekf*","Calvin Faucher","MIA","RP","","FA","30","100,000","A","52.43","46","447.2","40%","0%","59","0","6","5","3.66","59","3.81","0.90","0/0","0","0","0","0","0","0","0","64"
"*02c5l*","Luke Weaver","NYM","RP","","FA","32","100,000","A","72.59","37","451","54%","+1%","67","0","8","18","2.96","76","3.76","0.85","0/0","0","0","0","0","0","0","0","59"
"*02bq7*","Robert Stephenson","LAA","RP","","FA","32","100,000","A","74.02","31","452.9","28%","0%","45","0","7","12","2.60","61","3.60","0.76","0/0","0","0","0","0","0","0","0","51"
"*05138*","Matt Brash","SEA","RP","","FA","27","100,000","A","75.09","32","457.6","53%","0%","52","0","4","24","3.46","68","3.46","0.79","0/0","0","0","0","0","0","0","0","59"
"*04k0w*","Camilo Doval","NYY","RP","","FA","28","100,000","A","63.33","51","457.6","61%","+1%","63","0","5","18","4.86","80","3.86","0.76","0/0","0","0","0","0","0","0","0","65"
"*04ggi*","Andrew Kittredge","BAL","RP","","FA","35","100,000","A","76.56","32","457.8","37%","0%","59","0","6","22","1.98","63","3.66","0.88","0/0","0","0","0","0","0","0","0","64"
"*041rj*","JoJo Romero","STL","RP","","FA","29","100,000","A","69.01","29","458.3","46%","0%","59","0","17","27","3.66","50","3.97","0.92","0/0","0","0","0","0","0","0","0","62"
"*02ccf*","Tommy Kahnle","(N/A)","RP","","FA","36","100,000","A","54.14","1","460.8","9%","0%","58","0","6","15","4.19","55","4.03","0.88","0/0","0","0","0","0","0","0","0","66"
"*06l0i*","Eduarniel Nunez","ATH","RP","","FA","26","100,000","A","28.91","1","461.5","4%","0%","18","0","0","0","7.50","19","4.50","0.78","0/0","0","0","0","0","0","0","0","15"
"*05uy4*","Dylan Dodd","ATL","RP","","FA","27","100,000","A","26.26","1","461.5","6%","0%","30","0","0","0","3.00","26","4.50","1.10","0/0","0","0","0","0","0","0","0","26"
"*03deu*","Brock Stewart","LAD","RP","","FA","34","100,000","A","34.36","1","461.6","8%","0%","31","0","0","12","4.35","34","4.65","0.94","0/0","0","0","0","0","0","0","0","36"
"*03nqg*","Kolby Allard","(N/A)","RP","","FA","28","100,000","A","20.49","1","461.6","6%","0%","58","0","0","0","3.57","42","4.97","1.12","0/0","0","0","0","0","0","0","0","32"
"*04w53*","Jaden Hill","COL","RP","","FA","26","100,000","A","39.99","1","461.6","8%","0%","37","0","0","4","3.65","41","4.14","0.92","0/0","0","0","0","0","0","0","0","32"
"*030x2*","Jose Leclerc","(N/A)","RP","","FA","32","100,000","A","47.84","1","461.6","5%","+1%","56","0","0","5","4.34","71","4.02","0.82","0/0","0","0","0","0","0","0","0","53"
"*03pp9*","Josh Sborz","(N/A)","RP","","FA","32","100,000","A","34","1","461.6","5%","0%","34","0","0","0","4.50","42","4.24","0.88","0/0","0","0","0","0","0","0","0","34"
"*04ug5*","Emmanuel Clase","(N/A)","RP","","FA","27","100,000","A","0","3","461.6","22%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*066d2*","Cade Gibson","MIA","RP","","FA","27","100,000","A","52.16","1","461.7","6%","0%","61","0","0","4","3.69","53","3.39","0.87","0/0","0","0","0","0","0","0","0","46"
"*04esc*","Keaton Winn","SF","RP","","FA","27","100,000","A","30.06","1","461.7","8%","0%","34","0","0","0","2.91","31","4.50","1.03","0/0","0","0","0","0","0","0","0","19"
"*0516x*","Brent Headrick","NYY","RP","","FA","28","100,000","A","44.44","1","461.8","5%","0%","31","0","0","2","3.19","34","4.06","0.87","0/0","0","0","0","0","0","0","0","19"
"*06guh*","Brandyn Garcia","ARI","RP","","FA","25","100,000","A","31.31","2","461.9","9%","0%","21","0","0","7","5.57","19","4.29","0.90","0/0","0","0","0","0","0","0","0","23"
"*041qq*","Jon Duplantier","(N/A)","RP","","FA","31","100,000","A","0","1","461.9","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04px6*","Cooper Criswell","SEA","RP","","FA","29","100,000","A","34.72","1","462","6%","0%","52","1","0","0","3.63","42","4.15","0.96","0/0","0","0","0","0","0","0","0","20"
"*05jrv*","Will Klein","LAD","RP","","FA","26","100,000","A","20.89","3","462","11%","0%","20","0","0","0","8.55","24","5.40","0.85","0/0","0","0","0","0","0","0","0","17"
"*041w8*","Ian Hamilton","ATL","RP","","FA","30","100,000","A","46.36","1","462.1","8%","0%","49","0","0","10","4.22","56","4.04","0.88","0/0","0","0","0","0","0","0","0","41"
"*05rh5*","Alexander Alberto","CHW","RP","","FA","24","100,000","A","0","1","462.4","6%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0404s*","Gregory Santos","SF","RP","","FA","26","100,000","A","29.44","1","462.4","6%","0%","24","0","0","0","6.38","21","4.13","0.88","0/0","0","0","0","0","0","0","0","21"
"*03qwa*","Phil Maton","CHC","RP","","FA","32","100,000","A","75.81","23","462.5","36%","+1%","64","0","4","20","3.38","78","3.38","0.75","0/0","0","0","0","0","0","0","0","66"
"*064nr*","Andelzon Abad","(N/A)","RP","","FA","21","100,000","A","0","2","462.5","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*01sbv*","Shelby Miller","(N/A)","RP","","FA","35","100,000","A","66.65","1","462.5","10%","0%","52","0","8","10","3.12","54","3.63","0.83","0/0","0","0","0","0","0","0","0","47"
"*05koh*","Luke Little","CHC","RP","","FA","25","100,000","A","31.83","1","462.6","9%","0%","25","0","0","0","7.56","26","4.32","0.76","0/0","0","0","0","0","0","0","0","31"
"*03qto*","Evan Phillips","(N/A)","RP","","FA","31","100,000","A","56.32","2","462.7","13%","+1%","11","0","0","0","2.45","12","3.27","0.82","0/0","0","0","0","0","0","0","0","11"
"*05w9g*","Randy Rodriguez","SF","RP","","FA","26","100,000","A","0","2","462.7","33%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02buh*","Scott Barlow","(N/A)","RP","","FA","33","100,000","A","51.56","1","462.8","7%","0%","64","0","0","14","5.06","73","4.08","0.81","0/0","0","0","0","0","0","0","0","70"
"*057n0*","Anthony Nunez","BAL","RP","","FA","24","100,000","A","0","1","462.8","7%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0376h*","Tyler Alexander","TEX","RP","","FA","31","100,000","A","41.61","1","462.8","8%","0%","65","1","0","4","2.22","58","4.43","1.02","0/0","0","0","0","0","0","0","0","27"
"*03aqz*","Adbert Alzolay","NYM","RP","","FA","30","100,000","A","38.83","2","462.8","8%","0%","41","0","0","7","3.95","47","4.61","0.88","0/0","0","0","0","0","0","0","0","42"
"*041s4*","Lake Bachar","MIA","RP","","FA","30","100,000","A","35.96","1","463","7%","0%","66","0","0","4","4.09","69","4.36","0.94","0/0","0","0","0","0","0","0","0","50"
"*051b2*","Paxton Schultz","WSH","RP","","FA","28","100,000","A","34.79","2","463","6%","0%","30","0","0","0","3.90","29","4.20","0.90","0/0","0","0","0","0","0","0","0","18"
"*043r7*","Caleb Ferguson","CIN","RP","","FA","29","100,000","A","59.96","1","463.1","10%","0%","60","0","2","14","3.30","58","3.60","0.90","0/0","0","0","0","0","0","0","0","65"
"*052ht*","Wikelman Gonzalez","CHW","RP","","FA","23","100,000","A","26.8","1","463.1","12%","0%","34","0","0","0","7.41","31","4.76","0.82","0/0","0","0","0","0","0","0","0","28"
"*03qlm*","Tyler Ferguson","ATH","RP","","FA","32","100,000","A","53.63","2","463.4","6%","0%","55","0","0","12","4.42","56","3.76","0.82","0/0","0","0","0","0","0","0","0","53"
"*0509b*","Prelander Berroa","CHW","RP","","FA","25","100,000","A","12.38","1","463.7","10%","0%","21","0","0","0","8.57","20","6.00","0.95","0/0","0","0","0","0","0","0","0","20"
"*05tjx*","Steven Cruz","KC","RP","","FA","26","100,000","A","49.92","2","463.7","7%","0%","52","0","0","10","3.98","46","3.81","0.87","0/0","0","0","0","0","0","0","0","55"
"*005m0*","David Robertson","(N/A)","RP","","FA","40","100,000","A","60.24","2","463.8","5%","0%","53","0","8","14","3.57","61","3.91","0.89","0/0","0","0","0","0","0","0","0","54"
