,,,,,,,,,"2,024","2,025","2,026","2,027","2,028","2,029","2,030"
,,,,,,,,,,,,,,,
Player Name,Franchise, Acq. Date , Drop Date , Contract Type , Salary ,Contract Length,Contract Starts,Contract Ends, 2024 Salary Hit , 2025 Salary Hit , 2026 Salary Hit , 2027 Salary Hit , 2028 Salary Hit , 2029 Salary Hit , 2030 Salary Hit 
Julio Rodriguez,Brenden Freedman,1/27/24,, FA Contract ," $ 33,100,000 ",5,2024,2028," $ 33,100,000 "," $ 33,100,000 "," $ 33,100,000 "," $ 33,100,000 "," $ 33,100,000 ",  ,  
Yoshinobu Yamamoto,Brenden Freedman,1/27/24,, FA Contract ," $ 23,800,000 ",4,2024,2027," $ 23,800,000 "," $ 23,800,000 "," $ 23,800,000 "," $ 23,800,000 ",  ,  ,  
Jose Ramirez,Brenden Freedman,1/27/24,, FA Contract ," $ 20,000,000 ",4,2024,2027," $ 20,000,000 "," $ 20,000,000 "," $ 20,000,000 "," $ 20,000,000 ",  ,  ,  
Cade Smith,Brenden Freedman,2/3/25,, FA Contract ," $ 6,000,000 ",3,2025,2027,  ," $ 6,000,000 "," $ 6,000,000 "," $ 6,000,000 ",  ,  ,  
George Springer,Brenden Freedman,1/27/24,, FA Contract ," $ 5,100,000 ",3,2024,2026," $ 5,100,000 "," $ 5,100,000 "," $ 5,100,000 ",  ,  ,  ,  
Ronel Blanco,Brenden Freedman,3/5/25,, FA Contract ," $ 5,000,000 ",2,2025,2026,  ," $ 5,000,000 "," $ 5,000,000 ",  ,  ,  ,  
Dansby Swanson,Brenden Freedman,1/27/24,, FA Contract ," $ 4,600,000 ",3,2024,2026," $ 4,600,000 "," $ 4,600,000 "," $ 4,600,000 ",  ,  ,  ,  
MacKenzie Gore,Brenden Freedman,1/27/24,, FA Contract ," $ 2,000,000 ",4,2024,2027," $ 2,000,000 "," $ 2,000,000 "," $ 2,000,000 "," $ 2,000,000 ",  ,  ,  
Gavin Stone,Brenden Freedman,2/24/24,, YP Contract , YP , YP ,2024,2026," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  ,  
Ivan Herrera,Brenden Freedman,2/28/24,, YP Contract , YP , YP ,2024,2026," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  ,  
Jackson Holliday,Brenden Freedman,2/21/24,, YP Contract , YP ,YP,2024,2026," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  ,  
Chase Burns,Brenden Freedman,1/27/25,, YP Contract , YP , YP ,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Colby Thomas,Brenden Freedman,2/10/25,, YP Contract , YP ,YP,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Dalton Rushing,Brenden Freedman,2/21/24,, YP Contract , YP ,YP,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Dylan Crews,Brenden Freedman,2/21/24,, YP Contract , YP ,YP,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Jace Jung,Brenden Freedman,2/21/24,, YP Contract , YP ,YP,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Jacob Melton,Brenden Freedman,2/28/24,, YP Contract , YP , YP ,2025,2027,  ," $ 500,000 "," $ 1,000,000 "," $ 1,500,000 ",  ,  ,  
Anthony Solomento,Brenden Freedman,2/21/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Arjun Nimmala,Brenden Freedman,3/3/24,, Minors , YP , YP ,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Blake Mitchell,Brenden Freedman,2/24/24,, Minors , YP , YP ,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Brock Porter ,Brenden Freedman,2/21/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Druw Jones,Brenden Freedman,7/22/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Ernesto Martinez Jr,Brenden Freedman,4/20/25,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Josue Briceno,Brenden Freedman,2/28/24,, Minors , YP , YP ,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Max Clark,Brenden Freedman,2/21/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Ricky Tiedemann,Brenden Freedman,2/21/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Thomas White,Brenden Freedman,3/7/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Tink Hence,Brenden Freedman,2/21/24,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Tommy Troy,Brenden Freedman,8/14/25,, Minors , YP , YP ,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Trey Yesavage,Brenden Freedman,2/1/25,, Minors , YP ,YP,,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   , $ -   
Yordan Alvarez,Brian Frederick,1/27/24,, FA Contract ," $ 32,400,000 ",5,2024,2028," $ 32,400,000 "," $ 32,400,000 "," $ 32,400,000 "," $ 32,400,000 "," $ 32,400,000 ",  ,  
