Rank,Player,Position,Team,Level,ETA,Age,Height,Weight,Bats,Throws
1,Konnor Griffin,SS/OF,Pittsburgh Pirates,AA,2026,19,6' 4",225,R,R
2,Kevin McGonigle,SS,Detroit Tigers,AA,2026,21,5' 10",187,L,R
3,Jesús Made,SS/2B,Milwaukee Brewers,AA,2027,18,6' 1",187,S,R
4,Leo De Vries,SS,Athletics,AA,2026,19,6' 1",183,S,R
5,JJ Wetherholt,INF,St. Louis Cardinals,AAA,2026,23,5' 10",190,L,R
6,Nolan McLean,RHP,New York Mets,MLB,2026,24,6' 2",214,R,R
7,Sebastian Walcott,SS/3B,Texas Rangers,AA,2026,19,6' 4",190,R,R
8,Samuel Basallo,C/1B,Baltimore Orioles,MLB,2026,21,6' 4",180,L,R
9,Colt Emerson,SS,Seattle Mariners,AAA,2026,20,6' 0",195,L,R
10,Max Clark,OF,Detroit Tigers,AA,2026,21,6' 0",205,L,L
11,Bubba Chandler,RHP,Pittsburgh Pirates,MLB,2026,23,6' 3",218,S,R
12,Trey Yesavage,RHP,Toronto Blue Jays,MLB,2026,22,6' 4",225,R,R
13,Eli Willits,SS,Washington Nationals,A,2028,18,6' 1",180,S,R
14,Walker Jenkins,OF,Minnesota Twins,AAA,2026,20,6' 3",210,L,R
15,Josue De Paula,OF,Los Angeles Dodgers,AA,2027,20,6' 3",185,L,L
16,Carson Benge,OF,New York Mets,AAA,2026,23,6' 1",184,L,R
17,Thomas White,LHP,Miami Marlins,AAA,2026,21,6' 5",240,L,L
18,Carter Jensen,C,Kansas City Royals,MLB,2026,22,6' 0",210,L,R
19,Payton Tolle,LHP,Boston Red Sox,MLB,2026,23,6' 6",250,L,L
20,Travis Bazzana,2B,Cleveland Guardians,AAA,2026,23,6' 0",199,L,R
21,Kade Anderson,LHP,Seattle Mariners,ROK,2027,21,6' 2",179,L,L
22,Sal Stewart,INF,Cincinnati Reds,MLB,2026,22,6' 1",224,R,R
23,Aidan Miller,SS,Philadelphia Phillies,AAA,2026,21,6' 1",205,R,R
24,Ethan Holliday,SS,Colorado Rockies,A,2029,18,6' 4",210,L,R
25,Bryce Eldridge,1B,San Francisco Giants,MLB,2026,21,6' 7",240,L,R
26,Luis Peña,INF,Milwaukee Brewers,A+,2028,19,5' 11",185,R,R
27,Zyhir Hope,OF,Los Angeles Dodgers,AA,2027,21,5' 10",193,L,L
28,Andrew Painter,RHP,Philadelphia Phillies,MLB,2026,22,6' 7",215,R,R
29,Seth Hernandez,RHP,Pittsburgh Pirates,ROK,2028,19,6' 4",190,R,R
30,Eduardo Quintero,OF,Los Angeles Dodgers,A+,2028,20,6' 1",175,R,R
31,Franklin Arias,SS,Boston Red Sox,AA,2027,20,5' 11",170,R,R
32,George Lombard Jr.,INF,New York Yankees,AA,2027,20,6' 2",190,R,R
33,Ryan Sloan,RHP,Seattle Mariners,A+,2028,20,6' 5",220,R,R
34,Liam Doyle,LHP,St. Louis Cardinals,AA,2027,21,6' 2",220,R,L
35,Bryce Rainer,SS,Detroit Tigers,A,2028,20,6' 3",195,L,R
