Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,5,,2.53934,32,32,0,0,,199,777,152,60,56,17,36,,6,245,11.0852,1.6115,6.87879,0.781335,0.315716,0.0458971,0.269819188863039,0.207353,0.944113,0.286041,0.778364,,,2.43519,6.89328,6.81089,7.019999980926514,,,,,,,1232.3000000000002,6.19246231155779,1138,5.71859296482412,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",16,7,,2.83343,32,32,0,0,,195,795,162,66,61,19,51,,4,240,11.0761,2.36978,4.67391,0.875787,0.301966,0.0646067,0.23735953867435455,0.219033,1.0933,0.297674,0.789474,,,2.79741,5.74339,6.08371,12.239999771118164,,,,,,,1103.1,5.656923076923077,1043,5.348717948717948,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",15,9,,3.06,32,32,0,0,,202,827,185,75,69,15,42,,5,192,8.55,1.845,4.63415,0.675,0.232558,0.0501836,0.1823745332658291,0.237354,1.12,0.29682,0.738916,,,2.90014,5.08609,5.2229,57.189998626708984,,,,,,,1072.3000000000002,5.308415841584159,1058,5.237623762376238,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Paul Skenes","PIT",12,7,,2.79534,32,32,0,0,,183,730,145,62,57,16,48,,6,208,10.2329,2.34609,4.3617,0.798669,0.284327,0.0651872,0.21914009004831314,0.214072,1.0538,0.284116,0.76969,,,2.89665,5.04785,5.73852,9.649999618530273,,,,,,,1034.4,5.652459016393443,961,5.251366120218579,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",11,7,,3.22328,32,32,0,0,,200,818,180,77,72,18,47,,7,196,8.81365,2.11528,4.16667,0.80582,0.239071,0.057377,0.18169399350881577,0.23538,1.13598,0.294118,0.741971,,,3.14633,4.85768,5.20615,24.75,,,,,,,1020.5999999999999,5.103,996,4.98,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Hunter Brown","HOU",14,7,,3.0234,31,31,0,0,,181,744,147,66,61,16,60,,7,195,9.71806,2.96941,3.27273,0.809838,0.262774,0.080292,0.18248175084590912,0.216346,1.13977,0.27972,0.763314,,,3.24311,4.15458,4.73419,36.189998626708984,,,,,,,949.4000000000001,5.245303867403315,886,4.895027624309392,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Bryan Woo","SEA",13,10,,3.3478,32,32,0,0,,192,763,157,78,72,23,39,,10,197,9.20645,1.84129,5,1.06014,0.257812,0.0515625,0.20625000074505806,0.220367,1.02294,0.272289,0.722543,,,3.38312,4.03828,3.55554,34.77000045776367,,,,,,,976.7,5.086979166666667,908,4.729166666666667,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",14,9,,3.40116,31,31,0,0,,189,775,164,77,71,16,54,,7,171,8.16279,2.56395,3.18367,0.784884,0.221277,0.0695036,0.15177305787801743,0.229231,1.15116,0.279749,0.723164,,,3.41421,4.03575,3.97113,50.04999923706055,,,,,,,934.4000000000002,4.943915343915345,896,4.7407407407407405,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Cole Ragans","KCR",10,8,,3.57822,29,29,0,0,,158,655,130,68,63,16,55,,4,195,11.1236,3.1115,3.575,0.933449,0.297917,0.0833333,0.21458332240581512,0.217391,1.16681,0.294326,0.71912,,,3.12649,4.01543,3.21284,48.15999984741211,,,,,,,847.4000000000001,5.3632911392405065,795,5.031645569620253,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12,6,,3.35503,26,26,0,0,,156,617,120,63,58,17,40,,5,168,9.69231,2.28994,4.23256,0.95858,0.273273,0.0645646,0.2087087258696556,0.210356,1.02367,0.267943,0.710419,,,3.21798,3.8416,3.57699,26.639999389648438,,,,,,,834.3000000000002,5.348076923076924,760,4.871794871794871,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chris Sale","ATL",10,7,,3.18584,28,28,0,0,,162,669,139,62,57,17,43,,10,191,10.6436,2.38938,4.45455,0.941271,0.285992,0.0642023,0.2217899039387703,0.226216,1.12631,0.30032,0.755337,,,3.11905,3.79783,4.16819,39.36000061035156,,,,,,,851.3000000000001,5.254938271604939,812,5.012345679012346,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Dylan Cease","TOR",11,8,,3.60656,31,31,0,0,,169,706,140,73,68,19,65,,4,197,10.4918,3.44262,3.04762,1.03825,0.27907,0.0915698,0.1875000149011612,0.219002,1.20826,0.285366,0.742459,,,3.52372,3.69509,3.12636,74.7699966430664,,,,,,,839.9000000000001,4.969822485207101,785,4.644970414201183,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12,10,,3.91304,31,31,0,0,,177,735,157,84,77,23,54,,4,198,10.0621,2.73913,3.67347,1.17391,0.269058,0.0732437,0.19581466168165207,0.232143,1.19255,0.293976,0.713407,,,3.58234,3.54043,2.88391,70.58999633789062,,,,,,,840.7,4.749717514124294,808,4.564971751412429,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Ranger Suarez","BOS",13,9,,3.52601,29,29,0,0,,167,707,163,71,65,15,49,,4,145,7.80347,2.65896,2.93478,0.809249,0.204856,0.0698027,0.1350531205534935,0.249589,1.27168,0.3,0.73991,,,3.53334,3.46105,3.57938,183.97999572753906,,,,,,,758.5,4.541916167664671,771,4.616766467065868,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Framber Valdez","DET",14,10,,3.64162,31,31,0,0,,197,829,178,87,80,17,67,,9,173,7.90751,3.06936,2.57627,0.780347,0.209078,0.0811554,0.12792296707630157,0.236364,1.24277,0.286004,0.716495,,,3.66693,3.44251,3.52148,81.13999938964844,,,,,,,903.9000000000003,4.5883248730964485,882,4.477157360406092,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"George Kirby","SEA",13,8,,3.59513,31,31,0,0,,168,691,155,73,67,19,32,,7,165,8.83548,1.70616,5.17857,1.03588,0.239274,0.0462046,0.19306930154561996,0.237762,1.11036,0.290244,0.713267,,,3.35856,3.35938,2.5628,64.58000183105469,,,,,,,819.5,4.877976190476191,806,4.7976190476190474,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Andrew Abbott","CIN",9,7,,3.92015,29,29,0,0,,161,674,154,76,70,19,47,,4,145,8.11252,2.61343,3.10417,1.08893,0.215007,0.0692641,0.14574314653873444,0.24649,1.24622,0.292373,0.719101,,,3.84899,3.35398,2.91394,221.92999267578125,,,,,,,694.3000000000001,4.312422360248448,695,4.316770186335404,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Sonny Gray","BOS",11,9,,3.7721,31,31,0,0,,174,733,168,79,73,22,48,,6,179,9.25344,2.47544,3.7381,1.11984,0.244168,0.0653188,0.17884913831949234,0.246644,1.23772,0.304762,0.738916,,,3.61975,3.34045,3.19652,138.08999633789062,,,,,,,776.2,4.460919540229885,780,4.482758620689655,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Zack Wheeler","PHI",11,6,,3.42657,26,26,0,0,,159,647,136,65,60,17,43,,7,164,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.18702291697263718,0.227743,1.12665,0.285714,0.733652,,,3.43817,3.33365,3.71236,110.48999786376953,,,,,,,791.9000000000002,4.980503144654089,752,4.729559748427673,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jacob deGrom","TEX",11,8,,3.48307,29,29,0,0,,162,643,133,68,63,22,39,,2,174,9.64064,2.17692,4.42857,1.24395,0.270506,0.061082,0.20942405983805656,0.222015,1.06427,0.274238,0.738095,,,3.5567,3.29968,3.15428,50.0099983215332,,,,,,,807.3999999999999,4.983950617283949,749,4.6234567901234565,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Kevin Gausman","TOR",12,10,,3.77778,31,31,0,0,,178,743,167,81,75,23,51,,2,174,8.77778,2.55556,3.43478,1.16667,0.233728,0.0680473,0.16568049043416977,0.242038,1.22222,0.291759,0.735469,,,3.75859,3.23591,2.84796,112.94999694824219,,,,,,,789.1000000000001,4.4331460674157315,780,4.382022471910112,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Aaron Nola","PHI",12,10,,4.16964,31,31,0,0,,180,746,171,90,83,26,44,,5,180,8.98076,2.18104,4.11765,1.28297,0.24055,0.0584192,0.1821305863559246,0.244485,1.19031,0.294271,0.697842,,,3.80513,3.23081,2.46381,205.52999877929688,,,,,,,780.6,4.336666666666667,775,4.305555555555555,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Joe Ryan","MIN",11,9,,3.78151,29,29,0,0,,161,655,140,73,68,23,37,,9,175,9.77376,2.09438,4.66667,1.2799,0.267091,0.0572337,0.20985691621899605,0.229452,1.0989,0.284264,0.718391,,,3.68459,3.09313,2.70995,78.52999877929688,,,,,,,756.5,4.698757763975156,718,4.459627329192546,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shane McClanahan","TBR",10,6,,3.28584,24,24,0,0,,136,552,117,53,50,16,36,,2,143,9.45681,2.40427,3.93333,1.04185,0.259912,0.0660793,0.19383259862661362,0.227488,1.12199,0.285223,0.760668,,,3.39337,3.08552,3.24797,182.99000549316406,,,,,,,677.4000000000001,4.980882352941177,644,4.735294117647059,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Kris Bubic","KCR",11,8,,3.53271,34,24,0,1,,142,605,131,60,56,12,48,,4,142,9,3.02804,2.97222,0.757009,0.234136,0.0787746,0.15536105632781982,0.236842,1.26168,0.298013,0.735294,,,3.32205,3.06112,2.9108,190.69000244140625,,,,,,,694.6,4.891549295774648,686,4.830985915492958,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"MacKenzie Gore","TEX",10,9,,3.95541,29,29,0,0,,158,673,137,75,69,17,59,,9,178,10.1465,3.38217,3,0.974522,0.264574,0.0881913,0.1763826608657837,0.22629,1.24204,0.292383,0.700935,,,3.58737,3.04994,2.13366,164.82000732421875,,,,,,,755.9000000000001,4.784177215189874,721,4.563291139240507,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Kyle Bradish","BAL",8,4,,3.51,28,28,0,0,,138,570,118,58,54,14,44,,7,143,9.36,2.88,3.25,0.9,0.251208,0.0772947,0.17391302436590195,0.228117,1.18,0.288973,0.730769,,,3.46514,3.04602,2.6726,72.95999908447266,,,,,,,675.2,4.892753623188407,641,4.644927536231884,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Sandy Alcantara","MIA",12,11,,4.04242,31,31,0,0,,190,785,175,92,85,20,52,,7,156,7.4111,2.47037,3,0.95446,0.199095,0.066365,0.13273000717163086,0.241436,1.19775,0.282328,0.677765,,,3.80263,3.01337,2.8821,144.57000732421875,,,,,,,840,4.421052631578948,825,4.342105263157895,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Spencer Strider","ATL",12,10,,3.80189,26,26,0,0,,147,614,125,68,62,18,48,,6,178,10.8813,2.94974,3.68889,1.11435,0.289703,0.078534,0.2111692801117897,0.224138,1.1799,0.294985,0.716353,,,3.44104,2.94139,2.49748,124.86000061035156,,,,,,,735.3999999999999,5.002721088435373,695,4.727891156462585,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Logan Gilbert","SEA",9,6,,3.4163,29,29,0,0,,161,648,134,66,61,21,40,,5,174,9.74487,2.2402,4.35,1.1761,0.268519,0.0617284,0.20679011195898056,0.222222,1.08276,0.276961,0.746888,,,3.5085,2.93664,2.91024,37.150001525878906,,,,,,,797.7000000000002,4.954658385093168,745,4.627329192546584,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Tanner Bibee","CLE",12,10,,3.65455,31,31,0,0,,181,754,165,79,74,23,51,,8,169,8.4,2.50909,3.34783,1.14545,0.22449,0.0670554,0.1574343964457512,0.236967,1.18788,0.281659,0.744298,,,3.88665,2.8997,3.21044,188.6300048828125,,,,,,,788.5,4.356353591160221,767,4.237569060773481,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"José Soriano","LAA",11,10,,4.04779,31,31,0,0,,175,757,155,85,79,14,77,,14,165,8.47505,3.98454,2.12698,0.695713,0.217532,0.102273,0.11525974422693253,0.232472,1.32818,0.289673,0.691244,,,3.81679,2.85506,2.38805,321.80999755859375,,,,,,,776.8,4.438857142857143,750,4.285714285714286,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Brandon Woodruff","MIL",10,7,,3.68475,28,28,0,0,,135,551,116,59,55,18,36,,6,145,9.67247,2.39509,4.03846,1.19754,0.2625,0.065,0.19750002026557922,0.227027,1.1259,0.281746,0.729847,,,3.63667,2.85111,2.5782,143.82000732421875,,,,,,,640,4.7407407407407405,605,4.481481481481482,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Drew Rasmussen","TBR",9,7,,3.60524,31,31,0,0,,150,605,133,64,60,17,38,,4,127,7.60379,2.29425,3.31429,1.0488,0.209386,0.0631769,0.14620938152074814,0.236893,1.14348,0.276762,0.728083,,,3.81249,2.56398,2.9614,132.36000061035156,,,,,,,683.1000000000001,4.554000000000001,657,4.38,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Freddy Peralta","NYM",11,9,,3.85714,29,29,0,0,,151,628,125,71,65,20,57,,7,165,9.78261,3.40994,2.86885,1.17391,0.261976,0.0913174,0.17065869271755219,0.221667,1.20497,0.277228,0.722965,,,3.92396,2.48926,2.15491,56.36000061035156,,,,,,,684.4000000000001,4.532450331125829,633,4.19205298013245,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Clay Holmes","NYM",11,9,,3.82979,28,28,0,0,,152,659,151,70,65,12,51,,9,125,7.39545,3.03742,2.43478,0.726339,0.189189,0.0777027,0.11148649454116821,0.252788,1.33529,0.301205,0.714286,,,3.72941,2.48176,2.32724,330.6300048828125,,,,,,,654.6,4.306578947368421,674,4.434210526315789,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Steven Matz","TBR",6,6,,3.81818,35,23,0,1,,135,573,133,61,57,16,37,,4,125,8.31818,2.45455,3.38889,1.09091,0.217857,0.0642857,0.15357141941785812,0.25,1.25758,0.298429,0.738162,,,3.7715,2.47249,2.08082,712.989990234375,,,,,,,587.4000000000001,4.351111111111112,598,4.42962962962963,,,,,,,,,,,,,,,,,,,"Steven Matz","13361",571927
"Brady Singer","CIN",11,12,,4.43701,31,31,0,0,,163,698,155,87,80,22,54,,11,155,8.54534,2.958,2.88889,1.20511,0.221906,0.0768137,0.1450924575328827,0.244514,1.27815,0.291304,0.680804,,,4.16374,2.47033,1.95226,388.25,,,,,,,647.5999999999999,3.9730061349693244,644,3.950920245398773,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"David Peterson","NYM",8,8,,4.08809,29,29,0,0,,162,705,156,79,74,14,63,,8,147,8.17619,3.53063,2.31579,0.805231,0.208531,0.0900474,0.11848342418670654,0.246046,1.35582,0.299528,0.704698,,,3.80272,2.46585,2.01175,452.0400085449219,,,,,,,701.9999999999999,4.333333333333333,709,4.3765432098765435,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Michael Wacha","KCR",10,11,,4.21198,29,29,0,0,,163,684,158,83,76,20,48,,4,129,7.12319,2.66345,2.67442,1.11493,0.188525,0.0704918,0.1180327907204628,0.250444,1.26635,0.286046,0.692695,,,4.13307,2.44498,1.98261,609.2899780273438,,,,,,,651.4000000000001,3.9963190184049084,657,4.030674846625767,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Nathan Eovaldi","TEX",10,10,,3.91675,29,29,0,0,,171,706,156,81,75,23,47,,6,154,8.08893,2.46925,3.27586,1.19205,0.21789,0.0665138,0.1513761281967163,0.238213,1.18259,0.278912,0.711575,,,3.99606,2.43417,2.32746,132.50999450683594,,,,,,,725.9,4.245029239766081,705,4.12280701754386,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Tyler Glasnow","LAD",6,5,,3.76068,24,24,0,0,,127,515,101,58,53,17,46,,1,149,10.5983,3.24786,3.26316,1.19658,0.28972,0.088785,0.20093459635972977,0.215938,1.15859,0.278884,0.722656,,,3.61947,2.42084,2.17508,113.73999786376953,,,,,,,625.1000000000001,4.92204724409449,571,4.496062992125984,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Jack Flaherty","DET",11,10,,4.16964,29,29,0,0,,156,667,140,78,72,21,58,,8,174,10.0071,3.33571,3,1.21882,0.260434,0.0868113,0.17362268269062042,0.233333,1.26871,0.293151,0.713342,,,3.93343,2.41861,1.82638,209,,,,,,,682.1000000000001,4.372435897435898,657,4.211538461538462,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Michael King","SDP",11,8,,3.79107,29,29,0,0,,156,662,139,71,66,21,59,,8,164,9.47767,3.41196,2.77778,1.21314,0.248016,0.0892857,0.1587301567196846,0.233996,1.27211,0.288462,0.754277,,,4.07027,2.41388,2.44428,129.55999755859375,,,,,,,661.7000000000002,4.241666666666668,634,4.064102564102564,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Jhoan Duran","PHI",10,3,,2.45455,70,0,29,3,,70,284,53,20,19,3,21,,4,86,11.0455,2.72727,4.05,0.409091,0.302239,0.0746269,0.22761192917823792,0.204918,1.06061,0.29375,0.775076,,,2.36241,2.40499,2.7213,41.84000015258789,,,,,,,597.3,8.532857142857143,565,8.071428571428571,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Griffin Jax","TBR",6,3,,2.73973,68,0,12,12,,68,273,52,23,21,5,18,,2,90,11.9178,2.32877,5.11765,0.684932,0.329545,0.0643939,0.2651515007019043,0.204082,1.01979,0.294118,0.75,,,2.34366,2.40376,1.9587,149.2100067138672,,,,,,,534.5,7.860294117647059,503,7.397058823529412,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
