Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",109,472,382,109,55,19,1,34,83,87,84,16,121,5,2,0,,7,3,0.286005,0.177492,0.256416,0.692202,0.418381,0.607216,0.424147,1.0256,0.32121,3.85862,0.328735,0,-0.46835,98.3569,42.5785,177.851,-0.46835,3.25504,42.846782356500626,-2.3707313537597656,5.80448,1.850000023841858,,,,,,,880.7,8.079816513,880.7,8.079816513,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",112,482,436,127,75,27,5,19,69,66,39,4,83,4,3,0,,25,7,0.291989,0.0815791,0.171847,0.474721,0.353058,0.510856,0.366752,0.863914,0.218867,6.76458,0.32061,0,1.46443,77.9667,21.014,134.169,1.46443,7.95686,20.875835418701172,13.121208667755127,5.17662,3.0999999046325684,,,,,,,717.5,6.40625,717.5,6.40625,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",111,481,388,105,61,17,2,25,76,71,88,7,83,2,3,1,,16,3,0.270843,0.183782,0.173525,1.05911,0.40638,0.520806,0.395294,0.927185,0.249963,5.22931,0.282599,0,0.97184,88.9846,32.1288,159.675,0.97184,-3.89046,35.00492125749588,-9.905274868011475,4.20706,4.650000095367432,,,,,,,787.7,7.096396396,787.7,7.096396396,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",110,477,403,113,59,21,3,30,89,84,66,12,115,5,3,0,,19,3,0.280216,0.139011,0.242023,0.574373,0.385263,0.572748,0.398485,0.958012,0.292533,6.71814,0.317633,0,1.85685,89.4535,33.0878,159.07,1.85685,0,35.25402867794037,-11.925926208496094,4.01168,1.2699999809265137,,,,,,,830.5,7.55,830.5,7.55,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Elly De La Cruz","CIN",110,477,428,116,69,24,4,19,75,67,44,3,128,2,3,1,,28,7,0.272303,0.0920506,0.268923,0.342293,0.341181,0.481225,0.351416,0.822405,0.208921,7.30333,0.34432,0,1.88517,71.223,14.8574,121.436,1.88517,2.17046,14.004921078681946,7.104105710983276,3.78464,8.449999809265137,,,,,,,664.2,6.038181818,664.2,6.038181818,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"José Ramírez","CLE",111,478,419,110,65,24,2,19,67,63,53,13,59,3,3,0,,26,4,0.263716,0.11169,0.122595,0.911049,0.348846,0.469425,0.344441,0.818271,0.205709,5.91643,0.265099,0,2.57901,68.6335,12.176,123.001,2.57901,3.18725,15.532312154769897,3.767804205417633,3.65817,6.28000020980835,,,,,,,662.8,5.971171171,662.8,5.971171171,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",100,433,370,109,61,22,1,25,61,67,55,10,75,6,2,0,,2,1,0.295922,0.127163,0.172035,0.739167,0.393912,0.563057,0.401268,0.956969,0.267135,2.65493,0.30965,0,-0.65063,82.2652,31.046,161.537,-0.65063,-0.0858005,30.789357364177704,-10.008022613823414,3.65351,33.38999938964844,,,,,,,728.9,7.289,728.9,7.289,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corbin Carroll","ARI",108,465,402,104,56,21,9,19,79,64,52,2,103,7,3,1,,23,4,0.259638,0.112029,0.221875,0.50492,0.351799,0.498139,0.362616,0.849938,0.2385,8.31716,0.302109,0,2.26766,73.6718,18.7154,133.004,2.26766,4.56946,20.461387157440186,-0.26943159103393555,3.65019,14.100000381469727,,,,,,,680.7,6.302777777,680.7,6.302777777,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Julio Rodríguez","SEA",112,483,438,117,75,21,1,20,67,67,36,3,109,7,2,0,,18,5,0.268104,0.073817,0.225787,0.326933,0.331065,0.459257,0.33926,0.790322,0.191153,5.27813,0.312628,0,0.819653,67.3102,10.2707,124.779,0.819653,2.11933,14.917854130268097,3.702666759490967,3.60599,9.489999771118164,,,,,,,621,5.544642857,621,5.544642857,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Pete Crow-Armstrong","CHC",106,457,417,105,64,19,5,17,66,65,26,1,112,8,2,4,,24,6,0.251829,0.0572608,0.245421,0.233317,0.306525,0.445657,0.323193,0.752181,0.193827,7.82789,0.302299,0,1.66643,57.7797,3.76271,108.775,1.66643,11.6023,6.420800685882568,13.234982371330261,3.56825,32.939998626708984,,,,,,,545.2,5.143396226,545.2,5.143396226,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Gunnar Henderson","BAL",110,477,426,111,65,22,4,20,68,62,45,2,108,4,3,0,,15,3,0.261069,0.0938605,0.227104,0.413293,0.335151,0.472137,0.346377,0.807289,0.211069,6.43567,0.30417,0,0.951985,69.2714,12.9058,124.594,0.951985,-1.71151,14.779895007610321,3.399598479270935,3.54078,12.510000228881836,,,,,,,637.3,5.793636363,637.3,5.793636363,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",113,486,423,112,73,20,2,17,70,60,54,3,100,4,4,0,,20,6,0.264308,0.111427,0.205782,0.54148,0.350407,0.442236,0.343269,0.792643,0.177928,5.48582,0.305099,0,0.667364,69.3748,11.9268,124.474,0.667364,7.17709,14.770426988601685,2.6122798919677734,3.43459,14.010000228881836,,,,,,,628.6,5.562831858,628.6,5.562831858,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Geraldo Perdomo","ARI",111,480,403,105,71,20,4,10,66,50,62,1,63,5,3,8,,17,5,0.260219,0.12932,0.132208,0.978158,0.362941,0.401557,0.338228,0.764498,0.141339,6.12663,0.286064,0,0.604375,66.5644,9.81591,116.298,0.604375,1.93795,9.881633877754211,7.083783149719238,3.37174,76.7699966430664,,,,,,,579.1,5.217117117,579.1,5.217117117,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
