Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",9,4,15,3.06221,23,23,0,0,,144,589,128,53,49,12,33,,4,148,9.24307,2.06843,4.46864,0.720707,0.251068,0.0561844,0.19488367438316345,0.23195,1.11845,0.296822,0.743901,,,2.90051,3.94307,4.02799,24.75,,,,,,,770.2000000000003,5.348611111111113,749,5.201388888888889,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",10,5,15,2.8026,23,23,0,0,,127,511,102,43,40,12,31,,5,147,10.398,2.18965,4.74871,0.814053,0.287244,0.0604889,0.22675544023513794,0.21483,1.04629,0.28593,0.769645,,,2.85332,3.57973,3.97872,9.649999618530273,,,,,,,713.0000000000002,5.614173228346458,665,5.2362204724409445,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Dylan Cease","TOR",9,5,14,3.35282,23,23,0,0,,129,538,104,52,48,13,50,,4,157,10.9135,3.46478,3.14983,0.873237,0.290837,0.0923343,0.1985025554895401,0.214508,1.19024,0.289743,0.744791,,,3.21741,3.30272,2.80021,74.7699966430664,,,,,,,676.3,5.242635658914728,628,4.868217054263566,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Webb","SFG",10,6,14,3.22765,22,22,0,0,,136,560,127,53,49,10,30,,4,127,8.44948,1.98873,4.24869,0.686128,0.22743,0.0535295,0.1739005632698536,0.241865,1.15855,0.301023,0.730864,,,3.00317,3.22752,3.22154,57.189998626708984,,,,,,,705.2,5.185294117647059,702,5.161764705882353,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Tarik Skubal","DET",7,2,11,2.56389,15,15,0,0,,92,360,72,28,26,7,16,,3,111,10.874,1.5643,6.95134,0.730767,0.307115,0.0441807,0.2629343904554844,0.210093,0.957245,0.287853,0.767685,,,2.38957,3.20309,3.11325,7.019999980926514,,,,,,,572.5,6.2228260869565215,534,5.804347826086956,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",9,4,12,3.05176,19,19,0,0,,109,449,94,40,37,11,30,,4,135,11.0703,2.47116,4.4798,0.944364,0.299387,0.0668305,0.23255674540996552,0.225006,1.12932,0.304332,0.774365,,,2.96827,2.95408,3.03424,12.239999771118164,,,,,,,594.9,5.457798165137614,570,5.229357798165138,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",9,5,13,3.34511,21,21,0,0,,126,517,109,51,47,12,34,,6,130,9.27483,2.40176,3.86168,0.882279,0.251373,0.0650942,0.18627872318029404,0.227155,1.12732,0.28669,0.730572,,,3.28339,2.89624,2.99683,110.48999786376953,,,,,,,641.4000000000001,5.090476190476191,614,4.873015873015873,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",9,7,12,3.85237,23,23,0,0,,132,550,118,61,57,16,39,,4,149,10.1762,2.65125,3.83826,1.1174,0.271518,0.0707399,0.20077823102474213,0.23275,1.18801,0.297737,0.712635,,,3.465,2.79054,2.3221,70.58999633789062,,,,,,,642.2000000000003,4.865151515151517,621,4.704545454545454,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Chris Sale","ATL",10,5,13,3.27903,21,21,0,0,,121,497,105,48,44,13,32,,9,145,10.79,2.40735,4.4821,0.968006,0.291012,0.0649275,0.22608444094657898,0.231212,1.1415,0.309843,0.752312,,,3.15428,2.78318,2.9223,39.36000061035156,,,,,,,629.5000000000001,5.202479338842976,603,4.983471074380165,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",9,6,13,3.44299,22,22,0,0,,128,512,107,53,49,15,26,,6,128,9.02964,1.82571,4.94582,1.05916,0.250025,0.0505528,0.19947243854403496,0.223087,1.04217,0.273211,0.713862,,,3.40989,2.72367,2.25335,34.77000045776367,,,,,,,644.5,5.03515625,605,4.7265625,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
