Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",10,3,,2.56389,21,21,,,,126,496,99,39,36,10,22,,4,152,10.874,1.5643,6.95134,0.730767,0.307115,0.0441807,0.2629343904554844,0.210093,0.957245,0.287853,0.767685,,,2.38957,4.38083,4.17714,7.019999980926514,,,,,,,778.0000000000001,6.174603174603176,726,5.761904761904762,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",9,4,,3.06221,21,21,,,,133,544,118,49,45,11,31,,4,137,9.24307,2.06843,4.46864,0.720707,0.251068,0.0561844,0.19488369673490524,0.23195,1.11845,0.296822,0.743901,,,2.90051,3.64337,3.71649,24.75,,,,,,,711.1000000000001,5.346616541353384,691,5.195488721804511,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",10,5,,2.8026,23,23,,,,127,512,102,43,40,12,31,,5,147,10.398,2.18965,4.74871,0.814053,0.287244,0.0604889,0.22675543650984764,0.21483,1.04629,0.28593,0.769645,,,2.85332,3.57973,3.97872,9.649999618530273,,,,,,,713.0000000000002,5.614173228346458,665,5.2362204724409445,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",11,6,,3.22765,22,22,,,,138,568,129,54,49,10,30,,4,129,8.44948,1.98873,4.24869,0.686128,0.22743,0.0535295,0.1739005744457245,0.241865,1.15855,0.301023,0.730864,,,3.00317,3.27608,3.24465,57.189998626708984,,,,,,,718.8000000000001,5.208695652173914,716,5.188405797101449,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",10,4,,3.05176,20,20,,,,117,480,100,43,40,12,32,,4,144,11.0703,2.47116,4.4798,0.944364,0.299387,0.0668305,0.23255674540996552,0.225006,1.12932,0.304332,0.774365,,,2.96827,3.17288,3.25212,12.239999771118164,,,,,,,638.2000000000002,5.454700854700856,609,5.205128205128205,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Dylan Cease","TOR",8,5,,3.35282,22,22,,,,121,503,97,49,45,12,46,,4,146,10.9135,3.46478,3.14983,0.873237,0.290837,0.0923342,0.1985025331377983,0.214508,1.19024,0.289743,0.744791,,,3.21741,3.09632,2.60042,74.7699966430664,,,,,,,637.6000000000001,5.2694214876033065,591,4.884297520661157,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",10,5,,3.32991,21,21,,,,126,519,110,51,47,9,37,,4,113,8.07441,2.63678,3.06223,0.660148,0.217105,0.0708976,0.14620713144540787,0.229016,1.1643,0.281559,0.717905,,,3.2776,2.94407,2.68441,50.04999923706055,,,,,,,638.7,5.06904761904762,616,4.888888888888889,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Yoshinobu Yamamoto","LAD",9,5,,3.55762,20,20,,,,120,480,95,51,47,14,29,,3,127,9.57199,2.21849,4.31465,1.05107,0.264761,0.0613633,0.20339786261320114,0.213191,1.04435,0.265824,0.697835,,,3.34999,2.76165,2.46924,26.639999389648438,,,,,,,626.8,5.223333333333333,576,4.8,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jesús Luzardo","PHI",8,6,,3.85237,20,20,,,,116,484,104,54,50,14,34,,4,132,10.1762,2.65125,3.83826,1.1174,0.271518,0.0707399,0.20077823102474213,0.23275,1.18801,0.297737,0.712635,,,3.465,2.45265,1.99955,70.58999633789062,,,,,,,565.8000000000001,4.877586206896552,548,4.724137931034483,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Bryan Woo","SEA",8,5,,3.44299,20,19,,,,115,461,96,48,44,14,23,,5,115,9.02964,1.82571,4.94582,1.05916,0.250025,0.0505528,0.19947246834635735,0.223087,1.04217,0.273211,0.713862,,,3.40989,2.43466,1.96809,34.77000045776367,,,,,,,575.1999999999999,5.001739130434782,539,4.6869565217391305,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
